1861-32-1 COC(=O)c1c(Cl)c(Cl)c(C(=O)OC)c(Cl)c1Cl
7012-37-5 Clc1ccc(cc1)c2ccc(Cl)cc2Cl
42576-02-3 COC(=O)c1cc(Oc2ccc(Cl)cc2Cl)ccc1[N+](=O)[O-]
685-91-6 CCN(CC)C(=O)C
121-75-5 CCOC(=O)CC(SP(=S)(OC)OC)C(=O)OCC
79-01-6 ClC=C(Cl)Cl
112-53-8 CCCCCCCCCCCCO
99-96-7 Oc1ccc(cc1)C(=O)[O-]
100-02-7 [O-]c1ccc(cc1)[N+](=O)[O-]
1596-84-5 CN(C)[N-]C(=O)CCC(=O)[O-]
6422-86-2 CCCCC(CC)COC(=O)c1ccc(cc1)C(=O)OCC(CC)CCCC
95-93-2 Cc1cc(C)c(C)cc1C
86-30-6 O=NN(c1ccccc1)c2ccccc2
591-35-5 Oc1cc(Cl)cc(Cl)c1
115-29-7 ClC1=C(Cl)C2(Cl)C3COS(=O)OCC3C1(Cl)C2(Cl)Cl
7241-98-7 COc1cc2OC3OCCC3c2c4OC(=O)C5=C(CCOC5=O)c14
123-66-0 CCCCCC(=O)OCC
83-79-4 COc1cc2OC[C@H]3Oc4c5C[C@@H](Oc5ccc4C(=O)[C@H]3c2cc1OC)C(=C)C
3337-71-1 COC(=O)[N-]S(=O)(=O)c1ccc(N)cc1
51235-04-2 CN(C)C1=NC(=O)N(C2CCCCC2)C(=O)N1C
127-20-8 CC(Cl)(Cl)C(=O)[O-]
2104-64-5 CCOP(=S)(Oc1ccc(cc1)[N+](=O)[O-])c2ccccc2
79-94-7 CC(C)(c1cc(Br)c(O)c(Br)c1)c2cc(Br)c([O-])c(Br)c2
101-42-8 CN(C)C(=O)Nc1ccccc1
42874-03-3 CCOc1cc(Oc2ccc(cc2Cl)C(F)(F)F)ccc1[N+](=O)[O-]
79-06-1 NC(=O)C=C
786-19-6 CCOP(=S)(OCC)SCSc1ccc(Cl)cc1
