563-04-2 Cc1cccc(OP(=O)(Oc2cccc(C)c2)Oc3cccc(C)c3)c1
66-81-9 C[C@H]1C[C@H](C)C(=O)[C@@H](C1)[C@H](O)CC2CC(=O)NC(=O)C2
63-25-2 CNC(=O)Oc1cccc2ccccc12
75-09-2 ClCCl
2409-55-4 Cc1ccc(O)c(c1)C(C)(C)C
115-84-4 CCCCC(C)(CC)C(O)O
134-62-3 CCN(CC)C(=O)c1cccc(C)c1
141-86-6 Nc1cccc(N)[nH+]1
25512-42-9 Clc1ccccc1c2ccccc2Cl
98-59-9 Cc1ccc(cc1)S(=O)(=O)Cl
62-23-7 [O-]C(=O)c1ccc(cc1)[N+](=O)[O-]
527-20-8 Nc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl
29836-26-8 CCCCCCCCO[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O
4904-61-4 C1CC=CCCC=CCCC=C1
122-40-7 CCCCCC(=Cc1ccccc1)C=O
82-75-7 Nc1cccc2cccc(c12)S(=O)(=O)[O-]
109-83-1 C[NH2+]CCO
97-99-4 OCC1CCCO1
28575-17-9 CCc1ccccc1c2ccccc2CC
123-96-6 CCCCCCC(C)O
1919-48-8 c1ccc(cc1)c2nc(nc(n2)c3ccccc3)c4ccccc4
75-01-4 ClC=C
12002-48-1 Clc1cccc(Cl)c1Cl
50-18-0 ClCCN(CCCl)P1(=O)NCCCO1
298-12-4 [O-]C(=O)C=O
95-08-9 CCC(CC)C(=O)OCCOCCOCCOC(=O)C(CC)CC
109-00-2 Oc1cccnc1
95-31-8 CC(C)(C)NSc1nc2ccccc2s1
110-58-7 CCCCC[NH3+]
868-77-9 CC(=C)C(=O)OCCO
3370-35-2 CCCCCCCCCCCCCCCCCC(=O)NCO
95-64-7 Cc1ccc(N)cc1C
110-63-4 OCCCCO
536-66-3 CC(C)c1ccc(cc1)C(=O)[O-]
112-70-9 CCCCCCCCCCCCCO
76-93-7 OC(C(=O)[O-])(c1ccccc1)c2ccccc2
87-20-7 CC(C)CCOC(=O)c1ccccc1O
85-41-6 O=C1NC(=O)c2ccccc12
111-17-1 [O-]C(=O)CCSCCC(=O)[O-]
26266-57-9 CCCCCCCCCCCCCCCC(=O)OCC(O)C(O)C(O)C(O)CO
115-07-1 CC=C
91-60-1 Sc1ccc2ccccc2c1
76-14-2 FC(F)(Cl)C(F)(F)Cl
591-20-8 Oc1cccc(Br)c1
141-43-5 [NH3+]CCO
4433-79-8 COc1cc(NC(=O)CC(=O)C)c(OC)cc1Cl
1197-18-8 NC[C@@H]1CC[C@H](CC1)C(=O)[O-]
78-93-3 CCC(=O)C
2396-61-4 OCCCOCCCO
100-42-5 C=Cc1ccccc1
700-38-9 Cc1ccc(c([O-])c1)[N+](=O)[O-]
75-27-4 ClC(Cl)Br
91-76-9 Nc1nc(N)nc(n1)c2ccccc2
55250-84-5 CN(C1CCCCC1)c2ccc3c(Oc4cc(C)c(Nc5ccccc5)cc4C36OC(=O)c7ccccc67)c2
89-25-8 Cc1cc(O)n(n1)c2ccccc2
7424-54-6 CCC(=O)[CH-]C(=O)CC
87-86-5 [O-]c1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl
112-35-6 COCCOCCOCCO
2432-87-3 CCCCCCCCOC(=O)CCCCCCCCC(=O)OCCCCCCCC
63-74-1 Nc1ccc(cc1)S(=O)(=O)N
121-34-6 COc1cc(ccc1[O-])C(=O)[O-]
100-41-4 CCc1ccccc1
100-46-9 [NH3+]Cc1ccccc1
99-30-9 Nc1c(Cl)cc(cc1Cl)[N+](=O)[O-]
102-36-3 Clc1ccc(cc1Cl)N=C=O
3033-62-3 C[NH+](C)CCOCC[NH+](C)C
719-96-0 FC(Cl)(Cl)SN1C(=O)c2ccccc2C1=O
78-42-2 CCCCC(CC)COP(=O)(OCC(CC)CCCC)OCC(CC)CCCC
10081-67-1 CC(C)(c1ccccc1)c2ccc(Nc3ccc(cc3)C(C)(C)c4ccccc4)cc2
2008-58-4 NC(=O)c1c(Cl)cccc1Cl
105-45-3 COC(=O)[CH-]C(=O)C
7781-98-8 CCOC(=O)c1cccc(O)c1
124-40-3 C[NH2+]C
2517-43-3 COC(C)CCO
26444-49-5 Cc1cccc(O)c1OP(=O)(Oc2ccccc2)Oc3ccccc3
112-96-9 CCCCCCCCCCCCCCCCCC[NH+]=C=O
110-97-4 CC(O)C[NH2+]CC(C)O
760-23-6 ClCC(Cl)C=C
96-96-8 COc1ccc(N)c(c1)[N+](=O)[O-]
118-90-1 Cc1ccccc1C(=O)[O-]
74921-47-4 CC(CC(c1ccccc1)c2cccc(C)c2C)c3ccccc3
112-53-8 CCCCCCCCCCCCO
121-32-4 CCOc1cc(C=O)ccc1[O-]
112-50-5 CCOCCOCCOCCO
644-97-3 ClP(Cl)c1ccccc1
959-26-2 CC(O)OC(=O)c1ccc(cc1)C(=O)OC(C)O
85-45-0 COc1c(N)cccc1[N+](=O)[O-]
78-87-5 CC(Cl)CCl
556-52-5 OCC1CO1
95-63-6 Cc1ccc(C)c(C)c1
1338-39-2 CCCCCCCCCCCC(=O)OC[C@@H](O)[C@H]1OC[C@H](O)[C@H]1O
2425-85-6 Cc1ccc(N=Nc2c(O)ccc3ccccc23)c(c1)[N+](=O)[O-]
96-49-1 O=C1OCCO1
92-15-9 COc1ccccc1NC(=O)CC(=O)C
112-18-5 CCCCCCCCCCCC[NH+](C)C
85-42-7 [O-]C(=O)C1CCCCC1C(=O)OC(=O)C2CCCCC2C(=O)[O-]
2050-76-2 Oc1c(Cl)cc(Cl)c2ccccc12
96-23-1 OC(CCl)CCl
86-30-6 O=NN(c1ccccc1)c2ccccc2
591-35-5 Oc1cc(Cl)cc(Cl)c1
34375-28-5 CN(O)CCO
25155-25-3 CC(C)(C)OOC(C)(C)c1ccc(cc1)C(C)(C)OOC(C)(C)C
121-57-3 Nc1ccc(cc1)S(=O)(=O)[O-]
123-28-4 CCCCCCCCCCCCOC(=O)CCSCCC(=O)OCCCCCCCCCCCC
62-44-2 CCOc1ccc(NC(=O)C)cc1
50-00-0 C=O
3785-34-0 BrCC(=O)OCCOC(=O)CBr
1119-40-0 COC(=O)CCCC(=O)OC
71-43-2 c1ccccc1
89-00-9 [O-]C(=O)c1cccnc1C(=O)[O-]
2104-64-5 CCOP(=S)(Oc1ccc(cc1)[N+](=O)[O-])c2ccccc2
78-92-2 CCC(C)O
141-78-6 CCOC(=O)C
79-94-7 CC(C)(c1cc(Br)c(O)c(Br)c1)c2cc(Br)c([O-])c(Br)c2
120-80-9 Oc1ccccc1O
13674-84-5 CC(CCl)OP(=O)(OC(C)CCl)OC(C)CCl
79-06-1 NC(=O)C=C
552-30-7 [O-]C(=O)c1ccc2C(=O)OC(=O)c2c1
100-21-0 [O-]C(=O)c1ccc(cc1)C(=O)[O-]
629-99-2 CCCCCCCCCCCCCCCCCCCCCCCCC
40690-89-9 O=C(OCCN(CCC#N)c1ccc(cc1)N=Nc2ccc(cc2)N(=O)=O)c3ccccc3
3234-85-3 CCCCCCCCCCCCCCOC(=O)CCCCCCCCCCCCC
111-78-4 C1CC=CCCC=C1
95-33-0 C1CCC(CC1)NSc2nc3ccccc3s2
55107-14-7 COC(=O)[CH-]C(=O)C(C)(C)C
75-00-3 CCCl
112-24-3 NCC[NH2+]CC[NH2+]CCN
1592-20-7 ClCc1ccc(C=C)cc1
122-00-9 CC(=O)c1ccc(C)cc1
2627-35-2 CCCCCCCCCCCCOP(=O)(O)[O-]
140-53-4 Clc1ccc(CC#N)cc1
71-41-0 CCCCCO
108-99-6 Cc1cccnc1
100-25-4 [O-][N+](=O)c1ccc(cc1)[N+](=O)[O-]
542-75-6 ClCC=CCl
101-81-5 C(c1ccccc1)c2ccccc2
102-70-5 C=CC[NH+](CC=C)CC=C
782-74-1 Clc1ccccc1NNc2ccccc2Cl
118-61-6 CCOC(=O)c1ccccc1O
117-84-0 CCCCCCCCOC(=O)c1ccccc1C(=O)OCCCCCCCC
122-01-0 ClC(=O)c1ccc(Cl)cc1
58-90-2 [O-]c1c(Cl)cc(Cl)c(Cl)c1Cl
79-27-6 BrC(Br)C(Br)Br
112-72-1 CCCCCCCCCCCCCCO
99-99-0 Cc1ccc(cc1)[N+](=O)[O-]
76-12-0 FC(Cl)(Cl)C(F)(Cl)Cl
74-98-6 CCC
72-20-8 ClC1=C(Cl)C2(Cl)C3C4CC(C5OC45)C3C1(Cl)C2(Cl)Cl
2416-94-6 Cc1ccc(C)c(O)c1C
120-72-9 c1ccc2[nH]ccc2c1
111-76-2 CCCCOCCO
91-17-8 C1CCC2CCCCC2C1
584-84-9 Cc1ccc(cc1N=C=O)N=C=O
100-43-6 C=Cc1ccncc1
793-24-8 CC(C)CC(C)Nc1ccc(Nc2ccccc2)cc1
4152-09-4 [NH3+]CCNCc1ccccc1
7360-38-5 CCCCC(CC)C(=O)OCC(COC(=O)C(CC)CCCC)OC(=O)C(CC)CCCC
75-25-2 BrC(Br)Br
629-62-9 CCCCCCCCCCCCCCC
68-35-9 Nc1ccc(cc1)S(=O)(=O)Nc2ncccn2
122-80-5 CC(=O)Nc1ccc(N)cc1
74-79-3 NC(=[NH+]CCC[C@H]([NH3+])C(=O)[O-])N
78-40-0 CCOP(=O)(OCC)OCC
23235-61-2 CCC(CO)(CO)COCC(CC)(CO)CO
85-44-9 O=C1OC(=O)c2ccccc12
75-04-7 CC[NH3+]
599-64-4 CC(C)(c1ccccc1)c2ccc(O)cc2
100-47-0 N#Cc1ccccc1
3089-11-0 COCN(COC)c1nc(nc(n1)N(COC)COC)N(COC)COC
88-26-6 CC(C)(C)c1cc(CO)cc(c1O)C(C)(C)C
119-68-6 CNc1ccccc1C(=O)[O-]
112-92-5 CCCCCCCCCCCCCCCCCCO
57-11-4 CCCCCCCCCCCCCCCCCC(=O)[O-]
98-07-7 ClC(Cl)(Cl)c1ccccc1
3290-92-4 CCC(COC(=O)C(=C)C)(COC(=O)C(=C)C)COC(=O)C(=C)C
123-42-2 CC(=O)CC(C)(C)O
101-83-7 C1CCC(CC1)[NH2+]C2CCCCC2
98-54-4 CC(C)(C)c1ccc(O)cc1
614-80-2 CC(=O)Nc1ccccc1O
319-86-8 Cl[C@@H]1[C@H](Cl)[C@H](Cl)[C@@H](Cl)[C@H](Cl)[C@H]1Cl
133-37-9 OC(C(O)C(=O)[O-])C(=O)[O-]
10453-86-8 CC(=CC1C(C(=O)OCc2coc(Cc3ccccc3)c2)C1(C)C)C
75-21-8 C1CO1
1656-63-9 CCCCCCCCCCCCSP(SCCCCCCCCCCCC)SCCCCCCCCCCCC
98-73-7 CC(C)(C)c1ccc(cc1)C(=O)[O-]
100-44-7 ClCc1ccccc1
646-31-1 CCCCCCCCCCCCCCCCCCCCCCCC
68-11-1 [O-]C(=O)CS
1886-81-3 CCCCCCCCCCCCOS(=O)(=O)c1ccccc1
120-71-8 COc1ccc(C)cc1N
96-22-0 CCC(=O)CC
95-92-1 CCOC(=O)C(=O)OCC
121-73-3 [O-][N+](=O)c1cccc(Cl)c1
101-20-2 Clc1ccc(NC(=O)Nc2ccc(Cl)c(Cl)c2)cc1
85-40-5 O=C1[N-]C(=O)C2CC=CCC12
79-04-9 ClCC(=O)Cl
98-92-0 NC(=O)c1cccnc1
1120-71-4 O=S1(=O)CCCO1
99-07-0 CN(C)c1cccc(O)c1
120-14-9 COc1ccc(C=O)cc1OC
101-43-9 CC(=C)C(=O)OC1CCCCC1
1071-93-8 N[N-]C(=O)CCCCC(=O)[N-]N
923-26-2 CC(O)COC(=O)C(=C)C
88-75-5 [O-]c1ccccc1[N+](=O)[O-]
2724-58-5 CC(C)CCCCCCCCCCCCCCC(=O)[O-]
56-40-6 [NH3+]CC(=O)[O-]
6731-36-8 CC1CC(C)(C)CC(C1)(OOC(C)(C)C)OOC(C)(C)C
89-72-5 CCC(C)c1ccccc1O
111-87-5 CCCCCCCCO
107-10-8 CCC[NH3+]
3050-69-9 CCCCCC(=O)OC=C
36483-60-0 Brc1cc(Br)c(Oc2cc(Br)c(Br)c(Br)c2)cc1Br
111-82-0 CCCCCCCCCCCC(=O)OC
105-46-4 CCC(C)OC(=O)C
103-73-1 CCOc1ccccc1
79-09-4 CCC(=O)[O-]
91-53-2 CCOc1ccc2NC(C)(C)C=C(C)c2c1
67-56-1 CO
1634-04-4 COC(C)(C)C
142-16-5 CCCCC(CC)COC(=O)\C=C/C(=O)OCC(CC)CCCC
330-54-1 CN(C)C(=O)Nc1ccc(Cl)c(Cl)c1
928-96-1 CC\C=C/CCO
482-89-3 Oc1c([nH]c2ccccc12)C3=Nc4ccccc4C3=O
1897-45-6 Clc1c(Cl)c(C#N)c(Cl)c(C#N)c1Cl
28768-32-3 C(C1CO1)N(CC2CO2)c3ccc(Cc4ccc(cc4)N(CC5CO5)CC6CO6)cc3
1129-41-5 CNC(=O)Oc1cccc(C)c1
112-30-1 CCCCCCCCCCO
136-36-7 Oc1cccc(OC(=O)c2ccccc2)c1
107-18-6 OCC=C
693-57-2 [NH3+]CCCCCCCCCCCC(=O)[O-]
142-96-1 CCCCOCCCC
124-28-7 CCCCCCCCCCCCCCCCCC[NH+](C)C
122-03-2 CC(C)c1ccc(C=O)cc1
108-98-5 [S-]c1ccccc1
88-99-3 [O-]C(=O)c1ccccc1C(=O)[O-]
110-44-1 CC=CC=CC(=O)[O-]
103-65-1 CCCc1ccccc1
