1746-01-6 Clc1cc2Oc3cc(Cl)c(Cl)cc3Oc2cc1Cl
99-76-3 COC(=O)c1ccc(O)cc1
95-94-3 Clc1cc(Cl)c(Cl)cc1Cl
67-66-3 ClC(Cl)Cl
319-85-7  Cl[C@@H]1[C@@H](Cl)[C@H](Cl)[C@@H](Cl)[C@H](Cl)[C@H]1Cl
78-93-3 CCC(=O)C
563-80-4 CC(C)C(=O)C
91-20-3 c1ccc2ccccc2c1
205-99-2 c1ccc2c(c1)c3cccc4c5ccccc5cc2c34
1634-04-4 COC(C)(C)C
87-85-4 Cc1c(C)c(C)c(C)c(C)c1C
789-02-6 Clc1ccc(cc1)C(c2ccccc2Cl)C(Cl)(Cl)Cl
50-29-3 Clc1ccc(cc1)C(c2ccc(Cl)cc2)C(Cl)(Cl)Cl
142-92-7 CCCCCCOC(=O)C
75-05-8 CC#N
92-52-4 c1ccc(cc1)c2ccccc2
120-82-1 Clc1ccc(Cl)c(Cl)c1
90-13-1 Clc1cccc2ccccc12
634-66-2 Clc1ccc(Cl)c(Cl)c1Cl
1825-30-5 Clc1cccc2c(Cl)cccc12
57-74-9 ClC1CC2C(C1Cl)C3(Cl)C(=C(Cl)C2(Cl)C3(Cl)Cl)Cl
124-13-0 CCCCCCCC=O
91-58-7 Clc1ccc2ccccc2c1
127-19-5 CN(C)C(=O)C
540-54-5 CCCCl
628-73-9 CCCCCC#N
109-94-4 CCOC=O
50-32-8 c1ccc2c(c1)cc3ccc4cccc5ccc2c3c45
319-84-6 Cl[C@@H]1[C@H](Cl)[C@@H](Cl)[C@H](Cl)[C@@H](Cl)[C@H]1Cl
108-20-3 CC(C)OC(C)C
99-96-7 Oc1ccc(cc1)C(=O)[O-]
110-19-0 CC(C)COC(=O)C
107-31-3 COC=O
72-55-9 ClC(=C(c1ccc(Cl)cc1)c2ccc(Cl)cc2)Cl
120-92-3 O=C1CCCC1
2050-69-3 Clc1ccc2ccccc2c1Cl
75-65-0 CC(C)(C)O
2198-77-8 Clc1ccc2ccc(Cl)cc2c1
