CAS-Number,X%,EHOMO,Mor29u,NdsCH,GATS1e,X3A,1/T,SdsCH,nR=Cp,F02[F-Br],RDF015m,BIC1,SpMin8_Bh(p),NssssC
001502-06-3,0,-0.25055,-1.395,0,0.54,0.241,0.003356 ,0,0,0,8.442,0.31,0.417,0
001576-87-0,0,-0.2633,-0.335,3,0.505,0.319,0.004115 ,4.094,0,0,2.833,0.675,0,0
001576-87-0,0,-0.2633,-0.335,3,0.505,0.319,0.002865 ,4.094,0,0,2.833,0.675,0,0
001708-29-8,0,-0.24304,-0.204,2,0.837,0.25,0.003356 ,4.028,0,0,3.775,0.61,0,0
001878-18-8,0,-0.23897,-0.664,0,1.225,0.348,0.003356 ,0,0,0,3.48,0.476,0,0
002050-47-7,8.7,-0.23667,0.137,0,0.72,0.206,0.002646 ,0,0,0,4.453,0.443,0.133,0
002050-68-2,9.1,-0.24109,-0.128,0,0.457,0.199,0.003040 ,0,0,0,4.972,0.413,0.133,0
002050-68-2,9.1,-0.24109,-0.128,0,0.457,0.199,0.002801 ,0,0,0,4.972,0.413,0.133,0
002051-60-7,4.5,-0.24545,0.02,0,0.471,0.193,0.003067 ,0,0,0,5.05,0.365,0.053,0
002051-61-8,4.5,-0.2438,-0.087,0,0.471,0.195,0.002915 ,0,0,0,5.029,0.365,0.095,0
002051-62-9,4.5,-0.23847,-0.097,0,0.471,0.199,0.002967 ,0,0,0,5.033,0.365,0.133,0
002051-62-9,4.5,-0.23847,-0.097,0,0.471,0.199,0.002755 ,0,0,0,5.033,0.365,0.133,0
002240-88-2,25,-0.30307,-0.262,0,0.766,0.25,0.003704 ,0,0,0,3.262,0.729,0,1
002240-88-2,25,-0.30307,-0.262,0,0.766,0.25,0.003096 ,0,0,0,3.262,0.729,0,1
002314-97-8,80,-0.3004,-0.072,0,1.28,0,0.003425 ,0,0,0,0.312,0.685,0,1
002370-63-0,0,-0.27253,-0.689,0,0.793,0.265,0.003356 ,0,1,0,6.467,0.564,0,0
002437-79-8,18.2,-0.26354,-0.139,0,0.494,0.185,0.003096 ,0,0,0,4.901,0.459,0,0
002517-43-3,0,-0.26332,-0.356,0,0.995,0.296,0.003356 ,0,0,0,5.137,0.538,0,0
002568-90-3,0,-0.25885,-1.109,0,0.907,0.276,0.002000 ,0,0,0,7.885,0.349,0.469,0
002704-78-1,0,-0.25604,-0.917,1,0.487,0.173,0.003356 ,0.961,0,0,8.278,0.524,0.315,1
002987-16-8,0,-0.26113,-0.462,1,0.526,0.25,0.003356 ,0.958,0,0,4.25,0.47,0,1
003208-16-0,0,-0.22644,-0.294,0,0.847,0.228,0.003356 ,0,0,0,3.267,0.65,0,0
003393-64-4,0,-0.25038,-0.312,0,0.794,0.297,0.003356 ,0,0,0,4.446,0.589,0,0
003710-84-7,0,-0.23867,-0.318,0,0.776,0.348,0.003356 ,0,0,0,5.24,0.475,0,0
004054-38-0,0,-0.22132,-0.376,4,1.143,0.25,0.003356 ,8.66,0,0,4.832,0.554,0,0
004497-92-1,0,-0.22484,-1.278,1,1.204,0.17,0.003356 ,2.494,0,0,9.591,0.493,0.312,1
004984-85-4,0,-0.25582,-0.484,0,0.785,0.282,0.003356 ,0,0,0,5.354,0.537,0,0
005259-65-4,0,-0.24106,-0.789,1,0.512,0.215,0.003356 ,2.19,0,0,7.492,0.514,0.159,0
005409-83-6,9.5,-0.24593,0.158,0,0.638,0.17,0.002532 ,0,0,0,5.352,0.514,0.043,0
005915-41-3,3.2,-0.24912,-0.595,0,0.9,0.187,0.003356 ,0,0,0,6.444,0.517,0.629,1
006094-02-6,0,-0.24962,-0.718,0,1.5,0.284,0.003356 ,0,1,0,4.698,0.49,0,0
006163-75-3,0,-0.2903,-0.361,0,1.056,0.285,0.003356 ,0,0,0,7.755,0.479,0,0
006434-78-2,0,-0.24541,-1.021,2,1.5,0.285,0.003356 ,4.377,0,0,6.513,0.408,0.384,0
006728-26-3,0,-0.26268,-0.529,3,0.514,0.302,0.003690 ,4.201,0,0,3.72,0.636,0,0
006728-26-3,0,-0.26268,-0.529,3,0.514,0.302,0.002841 ,4.201,0,0,3.72,0.636,0,0
006876-00-2,4.3,-0.2391,0.065,0,0.753,0.202,0.003067 ,0,0,0,4.499,0.399,0.133,0
006876-00-2,4.3,-0.2391,0.065,0,0.753,0.202,0.002801 ,0,0,0,4.499,0.399,0.133,0
007012-37-5,13.6,-0.2501,-0.051,0,0.47,0.191,0.002915 ,0,0,0,4.953,0.443,0.025,0
007319-00-8,0,-0.25042,-0.44,3,1.333,0.319,0.003356 ,5.953,1,0,3.103,0.551,0,0
010025-87-3,60,-0.34709,0.093,0,2.448,0,0.003356 ,0,0,0,3.039,0.59,0,0
013029-08-8,9.1,-0.25503,-0.024,0,0.457,0.189,0.003367 ,0,0,0,4.979,0.413,0.033,0
013151-27-4,0,-0.24921,-1.224,0,1.5,0.267,0.003356 ,0,1,0,8.281,0.376,0.608,0
013877-91-3,0,-0.22489,-0.566,3,1.3,0.272,0.003356 ,6.242,1,0,6.115,0.526,0.247,0
014920-89-9,0,-0.22007,-0.318,0,0.847,0.229,0.003356 ,0,0,0,3.451,0.631,0,0
015862-07-4,13.6,-0.25226,-0.026,0,0.47,0.191,0.002907 ,0,0,0,5.037,0.443,0.022,0
015980-15-1,0,-0.23002,-0.258,0,0.84,0.25,0.003356 ,0,0,0,3.499,0.475,0,0
016606-02-3,13.6,-0.25177,-0.044,0,0.47,0.192,0.002762 ,0,0,0,4.948,0.443,0.01,0
018516-37-5,0,-0.24985,-1.451,0,1.5,0.265,0.003356 ,0,1,0,9.242,0.357,0.727,0
020334-52-5,0,-0.23686,-0.326,0,0.5,0.354,0.003356 ,0,0,0,1.886,0.724,0,0
022052-84-2,46.7,-0.34184,-0.417,0,1.016,0.191,0.003356 ,0,0,0,3.577,0.564,0,3
002436-90-0,0,-0.2362,-0.953,2,1.4,0.272,0.003356 ,4.291,1,0,6.597,0.509,0.372,0
026946-56-5,0,-0.26807,-0.673,2,0.474,0.177,0.003356 ,1.748,0,0,6.537,0.56,0,1
028523-86-6,46.7,-0.34992,-0.2,0,1.016,0.178,0.003344 ,0,0,0,3.98,0.564,0,2
033284-50-3,9.1,-0.24849,-0.017,0,0.457,0.19,0.003096 ,0,0,0,5.006,0.413,0.048,0
034862-07-2,16.7,-0.28645,-0.081,0,0.761,0.289,0.003356 ,0,0,0,2.213,0.614,0,0
038380-03-9,22.7,-0.26348,0.118,0,0.526,0.189,0.003356 ,0,0,0,5.04,0.465,0,0
039227-53-7,4.5,-0.21826,0.281,0,0.771,0.176,0.003356 ,0,0,0,4.997,0.452,0.111,0
040478-73-7,0,-0.2658,-0.579,1,0.948,0.21,0.003356 ,1.739,1,0,6.938,0.657,0,1
041464-39-5,18.2,-0.25848,-0.075,0,0.494,0.188,0.002915 ,0,0,0,4.963,0.459,0.01,0
051452-87-0,8.7,-0.24071,0.083,0,0.72,0.199,0.002646 ,0,0,0,4.449,0.443,0.046,0
055702-46-0,13.6,-0.25338,0.071,0,0.47,0.194,0.002915 ,0,0,0,5.161,0.443,0.037,0
082944-59-0,0,-0.32268,-0.783,0,0.307,0.245,0.003356 ,0,0,0,5.515,0.482,0,0
138495-42-8,58.8,-0.38264,-0.434,0,1.128,0.207,0.003356 ,0,0,0,5.22,0.445,0,3
147217-71-8,8.7,-0.2388,0.076,0,0.72,0.199,0.002793 ,0,0,0,4.473,0.443,0.133,0
183065-42-1,0,-0.29995,-0.586,0,0.513,0.201,0.003356 ,0,0,0,6.949,0.575,0,0
SRC002-52-6,0,-0.31664,-0.618,0,0.306,0.21,0.003356 ,0,0,0,6.43,0.447,0,1
000002-60-0,0,-0.31765,-1.04,0,0.308,0.236,0.003356 ,0,0,0,8.278,0.392,0.441,0
000057-55-6,0,-0.28351,-0.103,0,1.114,0.408,0.003356 ,0,0,0,3.543,0.614,0,0
000064-17-5,0,-0.28053,-0.178,0,1.07,0,0.003356 ,0,0,0,1.802,0.627,0,0
000064-17-5,0,-0.28053,-0.178,0,1.07,0,0.001520 ,0,0,0,1.802,0.627,0,0
000064-17-5,0,-0.28053,-0.178,0,1.07,0,0.001157 ,0,0,0,1.802,0.627,0,0
000067-56-1,0,-0.28431,-0.04,0,1.115,0,0.003356 ,0,0,0,0.748,0.772,0,0
000067-63-0,0,-0.27914,-0.312,0,1.053,0,0.003077 ,0,0,0,2.762,0.515,0,0
000067-64-1,0,-0.25918,-0.318,0,0.5,0,0.001071 ,0,0,0,1.943,0.473,0,0
000067-64-1,0,-0.25918,-0.318,0,0.5,0,0.000871 ,0,0,0,1.943,0.473,0,0
000067-64-1,0,-0.25918,-0.318,0,0.5,0,0.000738 ,0,0,0,1.943,0.473,0,0
000071-23-8,0,-0.28026,-0.28,0,1.053,0.5,0.003663 ,0,0,0,2.685,0.563,0,0
000071-23-8,0,-0.28026,-0.28,0,1.053,0.5,0.002660 ,0,0,0,2.685,0.563,0,0
000071-43-2,0,-0.26009,0.024,0,0.917,0.25,0.003285 ,0,0,0,1.965,0.256,0,0
000071-43-2,0,-0.26009,0.024,0,0.917,0.25,0.002370 ,0,0,0,1.965,0.256,0,0
000074-84-0,0,-0.34598,-0.307,0,2,0,0.003968 ,0,0,0,0.908,0.289,0,0
000074-84-0,0,-0.34598,-0.307,0,2,0,0.003333 ,0,0,0,0.908,0.289,0,0
000074-84-0,0,-0.34598,-0.307,0,2,0,0.002778 ,0,0,0,0.908,0.289,0,0
000074-86-2,0,-0.30141,-0.036,0,1,0,0.003356 ,0,0,0,0,0.431,0,0
000074-93-1,0,-0.24308,-0.132,0,1.114,0,0.003356 ,0,0,0,0.022,0.772,0,0
000074-98-6,0,-0.33024,-0.429,0,1.833,0,0.004545 ,0,0,0,1.811,0.33,0,0
000074-98-6,0,-0.33024,-0.429,0,1.833,0,0.003030 ,0,0,0,1.811,0.33,0,0
000075-00-3,12.5,-0.29885,-0.189,0,0.5,0,0.003356 ,0,0,0,0.975,0.552,0,0
000075-07-0,0,-0.2697,-0.147,1,0.505,0,0.003356 ,0.75,0,0,0.999,0.758,0,0
000075-17-2,0,-0.28354,0.012,0,0.825,0,0.003356 ,0,0,0,0.6,0.871,0,0
000075-26-3,9.1,-0.2766,-0.395,0,0.553,0,0.004762 ,0,0,0,1.929,0.449,0,0
000075-26-3,9.1,-0.2766,-0.395,0,0.553,0,0.003356 ,0,0,0,1.929,0.449,0,0
000075-28-5,0,-0.32412,-0.513,0,1.75,0,0.004695 ,0,0,0,2.654,0.296,0,0
000075-28-5,0,-0.32412,-0.513,0,1.75,0,0.003676 ,0,0,0,2.654,0.296,0,0
000075-28-5,0,-0.32412,-0.513,0,1.75,0,0.003333 ,0,0,0,2.654,0.296,0,0
000075-28-5,0,-0.32412,-0.513,0,1.75,0,0.002801 ,0,0,0,2.654,0.296,0,0
000075-33-2,0,-0.24026,-0.386,0,1.173,0,0.003356 ,0,0,0,1.872,0.515,0,0
000075-38-7,33.3,-0.28413,-0.114,0,0.666,0,0.003356 ,0,2,0,0.191,0.742,0,0
000075-50-3,0,-0.21796,-0.41,0,1.169,0,0.003356 ,0,0,0,2.858,0.318,0,0
000075-64-9,0,-0.24294,-0.404,0,1.562,0,0.003356 ,0,0,0,3.701,0.459,0,1
000075-71-8,80,-0.34288,0.006,0,1.988,0,0.003356 ,0,0,0,0.232,0.761,0,1
000075-83-2,0,-0.31136,-0.639,0,1.667,0.354,0.003356 ,0,0,0,4.217,0.296,0,1
000075-90-1,42.9,-0.32056,-0.117,1,1.045,0.354,0.003356 ,-1.063,0,0,1.22,0.758,0,1
000075-91-2,0,-0.26617,-0.329,0,0.578,0.354,0.003717 ,0,0,0,5.281,0.491,0,1
000075-91-2,0,-0.26617,-0.329,0,0.578,0.354,0.002667 ,0,0,0,5.281,0.491,0,1
000076-37-9,33.3,-0.31248,-0.074,0,0.85,0.275,0.003484 ,0,0,0,3.482,0.729,0,1
000076-37-9,33.3,-0.31248,-0.074,0,0.85,0.275,0.002793 ,0,0,0,3.482,0.729,0,1
000078-38-6,0,-0.28643,-0.59,0,1.027,0.233,0.003597 ,0,0,0,9.972,0.42,0,0
000078-40-0,0,-0.29224,-0.588,0,1.088,0.213,0.003597 ,0,0,0,12.689,0.404,0,0
000078-70-6,0,-0.23383,-0.737,2,1.043,0.259,0.003356 ,3.712,1,0,7.675,0.568,0.436,1
000078-79-5,0,-0.23944,-0.253,1,1.3,0.408,0.002915 ,1.722,2,0,2.045,0.601,0,0
000078-79-5,0,-0.23944,-0.253,1,1.3,0.408,0.002545 ,1.722,2,0,2.045,0.601,0,0
000078-86-4,7.1,-0.29476,-0.432,0,0.525,0.408,0.003356 ,0,0,0,2.811,0.44,0,0
000078-93-3,0,-0.25487,-0.445,0,0.506,0.408,0.001105 ,0,0,0,2.785,0.501,0,0
000078-93-3,0,-0.25487,-0.445,0,0.506,0.408,0.000919 ,0,0,0,2.785,0.501,0,0
000078-93-3,0,-0.25487,-0.445,0,0.506,0.408,0.000802 ,0,0,0,2.785,0.501,0,0
000078-94-4,0,-0.26385,-0.198,1,0.5,0.408,0.003356 ,1.278,1,0,2.026,0.724,0,0
000079-09-4,0,-0.28918,-0.109,0,0.84,0.408,0.003356 ,0,0,0,2.038,0.695,0,0
000079-29-8,0,-0.30974,-0.868,0,1.667,0.333,0.003356 ,0,0,0,4.225,0.272,0,0
000079-29-8,0,-0.30974,-0.868,0,1.667,0.333,0.001120 ,0,0,0,4.225,0.272,0,0
000079-29-8,0,-0.30974,-0.868,0,1.667,0.333,0.000991 ,0,0,0,4.225,0.272,0,0
000079-29-8,0,-0.30974,-0.868,0,1.667,0.333,0.000903 ,0,0,0,4.225,0.272,0,0
000079-29-8,0,-0.30974,-0.868,0,1.667,0.333,0.000829 ,0,0,0,4.225,0.272,0,0
000079-31-2,0,-0.28844,-0.214,0,0.809,0.333,0.003356 ,0,0,0,2.889,0.594,0,0
000079-46-9,0,-0.30662,-0.279,0,0.21,0.333,0.003356 ,0,0,0,2.933,0.494,0,0
000080-62-6,0,-0.27741,-0.346,0,0.729,0.297,0.003356 ,0,1,0,3.125,0.685,0,0
000085-01-8,0,-0.22369,-0.275,0,0.758,0.174,0.003135 ,0,0,0,7.034,0.292,0.2,0
000085-01-8,0,-0.22369,-0.275,0,0.758,0.174,0.002660 ,0,0,0,7.034,0.292,0.2,0
000086-73-7,0,-0.22422,-0.167,0,0.778,0.17,0.003356 ,0,0,0,7.038,0.439,0.053,0
000088-72-2,0,-0.27938,-0.174,0,0.195,0.202,0.003356 ,0,0,0,4.134,0.616,0,0
000091-20-3,0,-0.22589,-0.05,0,0.805,0.193,0.003401 ,0,0,0,4.528,0.302,0.023,0
000091-20-3,0,-0.22589,-0.05,0,0.805,0.193,0.002732 ,0,0,0,4.528,0.302,0.023,0
000092-52-4,0,-0.23589,-0.068,0,0.837,0.198,0.003096 ,0,0,0,5.102,0.278,0.133,0
000092-52-4,0,-0.23589,-0.068,0,0.837,0.198,0.002809 ,0,0,0,5.102,0.278,0.133,0
000095-48-7,0,-0.22902,-0.029,0,0.985,0.231,0.003220 ,0,0,0,3.279,0.636,0,0
000095-48-7,0,-0.22902,-0.029,0,0.985,0.231,0.002805 ,0,0,0,3.279,0.636,0,0
000095-48-7,0,-0.22902,-0.029,0,0.985,0.231,0.002364 ,0,0,0,3.279,0.636,0,0
000095-87-4,0,-0.22434,-0.306,0,0.985,0.22,0.003356 ,0,0,0,4.318,0.61,0,0
000096-22-0,0,-0.2553,-0.606,0,0.515,0.348,0.003356 ,0,0,0,3.758,0.418,0,0
000096-22-0,0,-0.2553,-0.606,0,0.515,0.348,0.000976 ,0,0,0,3.758,0.418,0,0
000096-22-0,0,-0.2553,-0.606,0,0.515,0.348,0.000864 ,0,0,0,3.758,0.418,0,0
000096-22-0,0,-0.2553,-0.606,0,0.515,0.348,0.000772 ,0,0,0,3.758,0.418,0,0
000096-33-3,0,-0.28931,-0.168,1,0.753,0.348,0.003356 ,1.111,1,0,2.083,0.755,0,0
000097-88-1,0,-0.2752,-0.84,0,0.708,0.267,0.003401 ,0,1,0,5.99,0.565,0,0
000098-01-1,0,-0.26488,-0.031,1,0.719,0.228,0.003356 ,0.667,0,0,2.085,0.661,0,0
000098-56-6,26.7,-0.27876,-0.044,0,0.572,0.203,0.003356 ,0,0,0,3.464,0.605,0,1
000099-08-1,0,-0.27918,-0.094,0,0.195,0.209,0.003356 ,0,0,0,4.059,0.616,0,0
000099-86-5,0,-0.20351,-0.893,2,1.25,0.215,0.003356 ,4.53,0,0,7.542,0.471,0.281,0
000100-42-5,0,-0.23505,-0.158,1,0.938,0.23,0.003356 ,1.833,1,0,3.065,0.411,0,0
000100-66-3,0,-0.22893,-0.031,0,0.85,0.23,0.003356 ,0,0,0,2.946,0.53,0,0
000100-66-3,0,-0.22893,-0.031,0,0.85,0.23,0.003108 ,0,0,0,2.946,0.53,0,0
000100-66-3,0,-0.22893,-0.031,0,0.85,0.23,0.002549 ,0,0,0,2.946,0.53,0,0
000100-66-3,0,-0.22893,-0.031,0,0.85,0.23,0.002333 ,0,0,0,2.946,0.53,0,0
000101-55-3,4.3,-0.23295,0.124,0,0.753,0.206,0.002801 ,0,0,0,4.518,0.399,0.133,0
000101-84-8,0,-0.23025,0.184,0,0.823,0.206,0.003021 ,0,0,0,4.55,0.315,0.133,0
000101-84-8,0,-0.23025,0.184,0,0.823,0.206,0.002890 ,0,0,0,4.55,0.315,0.133,0
000104-87-0,0,-0.26549,-0.26,1,0.475,0.226,0.003356 ,0.847,0,0,4.034,0.604,0,0
000105-54-4,0,-0.28115,-0.739,0,0.71,0.26,0.003356 ,0,0,0,4.963,0.479,0,0
000106-42-3,0,-0.23683,-0.087,0,1.063,0.23,0.003356 ,0,0,0,4.03,0.5,0,0
000106-51-4,0,-0.28696,-0.292,4,0.49,0.23,0.003356 ,5.009,0,0,4.067,0.48,0,0
000106-94-5,9.1,-0.27823,-0.383,0,0.553,0.5,0.004762 ,0,0,0,1.846,0.504,0,0
000106-94-5,9.1,-0.27823,-0.383,0,0.553,0.5,0.003356 ,0,0,0,1.846,0.504,0,0
000106-95-6,11.1,-0.2766,-0.157,1,0.518,0.5,0.003356 ,1.792,1,0,1.037,0.763,0,0
000106-97-8,0,-0.32504,-0.582,0,1.75,0.5,0.003344 ,0,0,0,2.702,0.31,0,0
000106-97-8,0,-0.32504,-0.582,0,1.75,0.5,0.002841 ,0,0,0,2.702,0.31,0,0
000106-98-9,0,-0.26291,-0.32,1,1.5,0.5,0.003333 ,1.875,1,0,1.929,0.62,0,0
000106-99-0,0,-0.24321,-0.094,2,1.25,0.5,0.003534 ,3.278,2,0,0.969,0.396,0,0
000106-99-0,0,-0.24321,-0.094,2,1.25,0.5,0.002681 ,3.278,2,0,0.969,0.396,0,0
000107-02-8,0,-0.27281,-0.153,2,0.505,0.5,0.003356 ,1.833,1,0,1.001,0.631,0,0
000107-12-0,0,-0.33516,-0.161,0,0.523,0.5,0.003356 ,0,0,0,1.724,0.566,0,0
000107-18-6,0,-0.27075,-0.08,1,1.07,0.5,0.003333 ,1.431,1,0,1.905,0.797,0,0
000107-22-2,0,-0.28446,-0.031,2,0.64,0.5,0.003356 ,0.389,0,0,0.925,0.565,0,0
000107-46-0,0,-0.26967,-0.375,0,2.217,0.177,0.003356 ,0,0,0,0.156,0.282,0,0
000107-87-9,0,-0.25631,-0.591,0,0.515,0.289,0.000991 ,0,0,0,3.75,0.481,0,0
000107-87-9,0,-0.25631,-0.591,0,0.515,0.289,0.000843 ,0,0,0,3.75,0.481,0,0
000107-98-2,0,-0.26694,-0.272,0,1.01,0.289,0.003356 ,0,0,0,4.039,0.567,0,0
000108-05-4,0,-0.26468,-0.174,1,0.753,0.289,0.003356 ,1.1,1,0,1.655,0.755,0,0
000108-11-2,0,-0.27552,-0.713,0,1.046,0.236,0.003356 ,0,0,0,5.258,0.434,0,0
000108-38-3,0,-0.241,-0.081,0,1.063,0.22,0.003356 ,0,0,0,4.052,0.5,0,0
000108-83-8,0,-0.25009,-1.01,0,0.562,0.218,0.003356 ,0,0,0,7.124,0.353,0.224,0
000108-90-7,8.3,-0.25749,-0.005,0,0.459,0.237,0.003344 ,0,0,0,1.927,0.422,0,0
000108-90-7,8.3,-0.25749,-0.005,0,0.459,0.237,0.001709 ,0,0,0,1.927,0.422,0,0
000108-95-2,0,-0.23489,0.127,0,0.988,0.237,0.003356 ,0,0,0,2.211,0.479,0,0
000109-65-9,7.1,-0.27761,-0.539,0,0.588,0.354,0.003356 ,0,0,0,2.739,0.44,0,0
000109-66-0,0,-0.3195,-0.775,0,1.7,0.354,0.002778 ,0,0,0,3.599,0.29,0,0
000109-66-0,0,-0.3195,-0.775,0,1.7,0.354,0.001176 ,0,0,0,3.599,0.29,0,0
000109-66-0,0,-0.3195,-0.775,0,1.7,0.354,0.001070 ,0,0,0,3.599,0.29,0,0
000109-66-0,0,-0.3195,-0.775,0,1.7,0.354,0.000946 ,0,0,0,3.599,0.29,0,0
000109-66-0,0,-0.3195,-0.775,0,1.7,0.354,0.000836 ,0,0,0,3.599,0.29,0,0
000109-66-0,0,-0.3195,-0.775,0,1.7,0.354,0.000816 ,0,0,0,3.599,0.29,0,0
000109-79-5,0,-0.23938,-0.584,0,1.201,0.354,0.003356 ,0,0,0,2.746,0.492,0,0
000109-95-5,0,-0.28581,-0.126,0,0.392,0.354,0.003356 ,0,0,0,2.782,0.682,0,0
000110-02-1,0,-0.2458,-0.197,0,0.673,0.25,0.003356 ,0,0,0,0.942,0.521,0,0
000110-53-2,5.9,-0.2773,-0.661,0,0.621,0.319,0.003356 ,0,0,0,3.636,0.392,0,0
000110-54-3,0,-0.31304,-0.893,0,1.667,0.319,0.002778 ,0,0,0,4.496,0.272,0,0
000110-54-3,0,-0.31304,-0.893,0,1.667,0.319,0.001142 ,0,0,0,4.496,0.272,0,0
000110-54-3,0,-0.31304,-0.893,0,1.667,0.319,0.001008 ,0,0,0,4.496,0.272,0,0
000110-54-3,0,-0.31304,-0.893,0,1.667,0.319,0.000895 ,0,0,0,4.496,0.272,0,0
000110-54-3,0,-0.31304,-0.893,0,1.667,0.319,0.000838 ,0,0,0,4.496,0.272,0,0
000110-62-3,0,-0.26351,-0.517,1,0.515,0.319,0.003356 ,0.962,0,0,3.653,0.523,0,0
000110-82-7,0,-0.29925,-0.765,0,1.417,0.25,0.003333 ,0,0,0,5.271,0.22,0,0
000110-82-7,0,-0.29925,-0.765,0,1.417,0.25,0.002564 ,0,0,0,5.271,0.22,0,0
000111-13-7,0,-0.25562,-1.001,0,0.55,0.273,0.003356 ,0,0,0,6.44,0.38,0.359,0
000111-35-3,0,-0.26322,-0.467,0,0.995,0.302,0.003356 ,0,0,0,5.054,0.478,0,0
000111-66-0,0,-0.26098,-0.895,1,1.5,0.291,0.003390 ,1.996,1,0,5.511,0.447,0.176,0
000111-66-0,0,-0.26098,-0.895,1,1.5,0.291,0.003356 ,1.996,1,0,5.511,0.447,0.176,0
000111-87-5,0,-0.27941,-0.927,0,1.052,0.285,0.003356 ,0,0,0,7.166,0.342,0.393,0
000112-40-3,0,-0.29631,-1.615,0,1.583,0.273,0.003356 ,0,0,0,9.877,0.212,0.711,0
000115-18-4,0,-0.2703,-0.386,1,1.045,0.354,0.003356 ,1.493,1,0,3.854,0.652,0,1
000116-15-4,66.7,-0.31026,-0.114,0,1.5,0.237,0.003356 ,0,1,0,1.72,0.667,0,1
000120-12-7,0,-0.20495,-0.202,0,0.758,0.178,0.003077 ,0,0,0,7.125,0.292,0.278,0
000120-82-1,25,-0.26278,-0.029,0,0.536,0.22,0.003356 ,0,0,0,1.925,0.512,0,0
000121-69-7,0,-0.19734,-0.087,0,1.055,0.216,0.003356 ,0,0,0,4.42,0.505,0,0
000123-35-3,0,-0.23759,-0.713,2,1.3,0.272,0.003195 ,4.035,2,0,5.982,0.54,0.293,0
000123-35-3,0,-0.23759,-0.713,2,1.3,0.272,0.002755 ,4.035,2,0,5.982,0.54,0.293,0
000123-38-6,0,-0.26555,-0.258,1,0.5,0.5,0.003356 ,0.875,0,0,1.864,0.651,0,0
000123-86-4,0,-0.28179,-0.765,0,0.71,0.277,0.003356 ,0,0,0,4.929,0.479,0,0
000124-68-5,0,-0.24007,-0.305,0,1.197,0.354,0.003356 ,0,0,0,4.554,0.61,0,1
000127-19-5,0,-0.24768,-0.166,0,0.657,0.333,0.003356 ,0,0,0,3.092,0.479,0,0
000132-64-9,0,-0.23381,0.218,0,0.787,0.17,0.003356 ,0,0,0,5.499,0.389,0.061,0
000132-65-0,0,-0.22458,-0.073,0,0.655,0.17,0.003356 ,0,0,0,5.098,0.389,0.061,0
000141-32-2,0,-0.28501,-0.685,1,0.71,0.285,0.003356 ,1.176,1,0,4.944,0.608,0,0
000142-28-9,18.2,-0.30319,-0.244,0,0.509,0.354,0.003356 ,0,0,0,1.879,0.507,0,0
000142-82-5,0,-0.30867,-1.02,0,1.643,0.302,0.001182 ,0,0,0,5.393,0.258,0,0
000142-82-5,0,-0.30867,-1.02,0,1.643,0.302,0.001062 ,0,0,0,5.393,0.258,0,0
000142-82-5,0,-0.30867,-1.02,0,1.643,0.302,0.000894 ,0,0,0,5.393,0.258,0,0
000142-82-5,0,-0.30867,-1.02,0,1.643,0.302,0.000857 ,0,0,0,5.393,0.258,0,0
000142-82-5,0,-0.30867,-1.02,0,1.643,0.302,0.000796 ,0,0,0,5.393,0.258,0,0
000151-67-7,62.5,-0.31654,-0.165,0,1.052,0.289,0.003356 ,0,0,0,1.276,0.857,0,1
000206-44-0,0,-0.2247,-0.058,0,0.7,0.157,0.003356 ,0,0,0,8.641,0.294,0.524,0
000208-96-8,0,-0.22684,-0.158,2,0.72,0.167,0.002899 ,4.356,0,0,6.545,0.423,0.081,0
000208-96-8,0,-0.22684,-0.158,2,0.72,0.167,0.003356 ,4.356,0,0,6.545,0.423,0.081,0
000280-57-9,0,-0.19244,-0.448,0,1.038,0.197,0.003356 ,0,0,0,8.473,0.295,0,0
000287-92-3,0,-0.31513,-0.715,0,1.4,0.25,0.003077 ,0,0,0,4.045,0.235,0,0
000288-32-4,0,-0.24117,-0.072,0,1.114,0.25,0.003356 ,0,0,0,0.957,0.75,0,0
000291-64-5,0,-0.30164,-0.976,0,1.429,0.25,0.003333 ,0,0,0,5.765,0.209,0,0
000292-64-8,0,-0.29149,-1.161,0,1.438,0.25,0.003356 ,0,0,0,6.747,0.2,0.338,0
000292-64-8,0,-0.29149,-1.161,0,1.438,0.25,0.002564 ,0,0,0,6.747,0.2,0.338,0
000319-84-6,33.3,-0.3056,-0.189,0,0.586,0.207,0.003356 ,0,0,0,5.246,0.38,0,0
000353-54-8,80,-0.29968,-0.036,0,1.373,0,0.003356 ,0,0,3,0.126,0.685,0,1
000354-33-6,62.5,-0.38993,-0.167,0,1.224,0.289,0.003356 ,0,0,0,1.598,0.552,0,1
000375-01-9,46.7,-0.32362,-0.264,0,1.039,0.212,0.003356 ,0,0,0,4.161,0.612,0,3
000406-78-0,46.7,-0.36802,-0.213,0,1.016,0.237,0.003356 ,0,0,0,4.148,0.599,0,2
000421-50-1,30,-0.30423,-0.31,0,0.727,0.289,0.003356 ,0,0,0,2.129,0.714,0,1
000422-05-9,41.7,-0.32378,-0.147,0,0.981,0.243,0.003484 ,0,0,0,3.158,0.708,0,2
000422-56-0,63.6,-0.33687,-0.256,0,1.196,0.225,0.003356 ,0,0,0,2.219,0.669,0,2
000431-47-0,27.3,-0.3275,-0.109,0,0.889,0.261,0.003356 ,0,0,0,2.231,0.75,0,1
000460-19-5,0,-0.383,0.101,0,1,0.5,0.003356 ,0,0,0,0.215,0.356,0,0
