CAS-Number,X%,EHOMO,Mor29u,NdsCH,GATS1e,X3A,1/T,SdsCH,nR=Cp,F02[F-Br],RDF015m,BIC1,SpMin8_Bh(p),NssssC
000079-29-8,0,-0.30974,-0.868,0,1.667,0.333,0.000774 ,0,0,0,4.225,0.272,0,0
000079-38-9,66.7,-0.27712,-0.068,0,1.392,0.333,0.003356 ,0,2,0,0.303,0.693,0,0
000080-62-6,0,-0.27741,-0.346,0,0.729,0.297,0.003401 ,0,1,0,3.125,0.685,0,0
000085-01-8,0,-0.22369,-0.275,0,0.758,0.174,0.003378 ,0,0,0,7.034,0.292,0.2,0
000085-01-8,0,-0.22369,-0.275,0,0.758,0.174,0.002667 ,0,0,0,7.034,0.292,0.2,0
000086-57-7,0,-0.25071,-0.145,0,0.187,0.179,0.003356 ,0,0,0,5.663,0.446,0.043,0
000087-44-5,0,-0.23358,-1.471,1,1.235,0.178,0.003356 ,2.42,1,0,11.936,0.468,0.904,1
000091-16-7,0,-0.21132,-0.006,0,0.886,0.208,0.003356 ,0,0,0,3.882,0.541,0,0
000091-20-3,0,-0.22589,-0.05,0,0.805,0.193,0.002976 ,0,0,0,4.528,0.302,0.023,0
000092-52-4,0,-0.23589,-0.068,0,0.837,0.198,0.003356 ,0,0,0,5.102,0.278,0.133,0
000092-52-4,0,-0.23589,-0.068,0,0.837,0.198,0.002874 ,0,0,0,5.102,0.278,0.133,0
000095-48-7,0,-0.22902,-0.029,0,0.985,0.231,0.003340 ,0,0,0,3.279,0.636,0,0
000095-48-7,0,-0.22902,-0.029,0,0.985,0.231,0.002904 ,0,0,0,3.279,0.636,0,0
000095-48-7,0,-0.22902,-0.029,0,0.985,0.231,0.002452 ,0,0,0,3.279,0.636,0,0
000095-80-7,0,-0.19432,-0.301,0,1.523,0.22,0.003356 ,0,0,0,4.042,0.643,0,0
000096-18-4,27.3,-0.3098,-0.2,0,0.557,0.348,0.003356 ,0,0,0,1.9,0.539,0,0
000096-22-0,0,-0.2553,-0.606,0,0.515,0.348,0.001019 ,0,0,0,3.758,0.418,0,0
000096-22-0,0,-0.2553,-0.606,0,0.515,0.348,0.000877 ,0,0,0,3.758,0.418,0,0
000096-22-0,0,-0.2553,-0.606,0,0.515,0.348,0.000795 ,0,0,0,3.758,0.418,0,0
000096-22-0,0,-0.2553,-0.606,0,0.515,0.348,0.000739 ,0,0,0,3.758,0.418,0,0
000097-88-1,0,-0.2752,-0.84,0,0.708,0.267,0.003484 ,0,1,0,5.99,0.565,0,0
000097-96-1,0,-0.25986,-0.654,1,0.526,0.289,0.003356 ,1.028,0,0,4.409,0.479,0,0
