CAS #,X1sol/T,Mor13v/T,H050/T,R5v/T,TO..Cl/T,HATS5v/T,RDF035m/T,RCl/T,nCOOR/T,Mor15u/T,RDF90m/T,1/T
039227-61-7,0.032272938,-0.001674145,0,0.000213523,0.126876064,0.000414668,0.007541389,0.004363299,0,0.001380164,0.005155501,0.003094538
030746-58-8,0.032691598,-0.002072782,0,0.000271675,0.107328526,0.000945833,0.008338085,0.004729163,0,0.001475767,0.003652524,0.003354016
030746-58-8,0.03568369,-0.002262493,0,0.00029654,0.117151748,0.0010324,0.009101226,0.005161999,0,0.001610837,0.00398682,0.003660992
030746-58-8,0.03442345,-0.002182589,0,0.000286067,0.113014303,0.000995939,0.008779799,0.004979693,0,0.001553947,0.003846018,0.003531697
030746-58-8,0.03324919,-0.002108136,0,0.000276309,0.109159134,0.000961965,0.0084803,0.004809824,0,0.001500938,0.003714822,0.003411223
030746-58-8,0.0321524,-0.002038595,0,0.000267194,0.105558304,0.000930233,0.008200561,0.004651163,0,0.001451427,0.003592281,0.003298697
030746-58-8,0.031125659,-0.001973495,0,0.000258662,0.10218745,0.000900527,0.007938688,0.004502635,0,0.001405077,0.003477567,0.003193358
000634-66-2,0.019389569,-0.000224719,0,0.000171055,0,0.000439376,0.000503102,0.004695623,0,-0.000932417,0,0.003354016
000634-66-2,0.021968459,-0.000254608,0,0.000193806,0,0.000497815,0.000570017,0.00532016,0,-0.001056432,0,0.003800114
000634-66-2,0.021164195,-0.000245286,0,0.000186711,0,0.00047959,0.000549149,0.005125389,0,-0.001017756,0,0.003660992
000634-66-2,0.02041674,-0.000236624,0,0.000180117,0,0.000462652,0.000529755,0.004944376,0,-0.000981812,0,0.003531697
000634-66-2,0.01972028,-0.000228552,0,0.000173972,0,0.00044687,0.000511683,0.004775712,0,-0.00094832,0,0.003411223
020020-02-4,0.026097602,-0.001348315,0,0.00044273,0,0.001573034,0.00116049,0.004762703,0,0.000251551,0,0.003354016
103426-97-7,0.030729499,-0.00131142,0,0.000348818,0,0.001053161,0.000774778,0.004762703,0,-0.000120745,0,0.003354016
150224-18-3,0.028385041,-0.001331545,0,0.000419252,0,0.001727318,0.001096763,0.004762703,0,0.000345464,0,0.003354016
150224-18-3,0.029888752,-0.001402084,0,0.000441462,0,0.001818824,0.001154865,0.00501501,0,0.000363765,0,0.003531697
150224-18-3,0.02886918,-0.001354256,0,0.000426403,0,0.00175678,0.00111547,0.004843937,0,0.000351356,0,0.003411223
150224-18-3,0.027916873,-0.001309583,0,0.000412337,0,0.001698829,0.001078674,0.00468415,0,0.000339766,0,0.003298697
150224-18-3,0.027025387,-0.001267763,0,0.00039917,0,0.001644579,0.001044228,0.004534568,0,0.000328916,0,0.003193358
150224-18-3,0.026189076,-0.001228532,0,0.000386817,0,0.001593687,0.001011914,0.004394244,0,0.000318737,0,0.003094538
103426-94-4,0.030729499,-0.001271172,0,0.000432668,0,0.001234278,0.000761362,0.004796244,0,0.000194533,0,0.003354016
103426-94-4,0.031253624,-0.001292853,0,0.000440048,0,0.00125533,0.000774348,0.004878049,0,0.000197851,0,0.003411223
103426-94-4,0.030222662,-0.001250206,0,0.000425532,0,0.001213921,0.000748804,0.004717137,0,0.000191324,0,0.003298697
103426-94-4,0.029257544,-0.001210283,0,0.000411943,0,0.001175156,0.000724892,0.004566502,0,0.000185215,0,0.003193358
103426-94-4,0.028352158,-0.00117283,0,0.000399195,0,0.00113879,0.00070246,0.00442519,0,0.000179483,0,0.003094538
053555-65-0,0.028328023,-0.00114372,0,0.000630555,0,0.002176757,0.001059869,0.004796244,0,0.000271675,0,0.003354016
053555-65-0,0.029828713,-0.001204309,0,0.000663959,0,0.002292071,0.001116016,0.005050327,0,0.000286067,0,0.003531697
053555-65-0,0.028811189,-0.001163227,0,0.00064131,0,0.002213884,0.001077946,0.004878049,0,0.000276309,0,0.003411223
053555-65-0,0.027860795,-0.001124856,0,0.000620155,0,0.002140854,0.001042388,0.004717137,0,0.000267194,0,0.003298697
053555-65-0,0.0269711,-0.001088935,0,0.000600351,0,0.002072489,0.001009101,0.004566502,0,0.000258662,0,0.003193358
053555-65-0,0.026136469,-0.001055238,0,0.000581773,0,0.002008355,0.000977874,0.00442519,0,0.000250658,0,0.003094538
150224-24-1,0.028385041,-0.001217508,0,0.000436022,0,0.001106825,0.000989435,0.004796244,0,0.000311924,0,0.003354016
150224-24-1,0.029888752,-0.001282006,0,0.000459121,0,0.00116546,0.001041851,0.005050327,0,0.000328448,0,0.003531697
150224-24-1,0.02886918,-0.001238274,0,0.000443459,0,0.001125704,0.001006311,0.004878049,0,0.000317244,0,0.003411223
150224-24-1,0.027916873,-0.001197427,0,0.000428831,0,0.00108857,0.000973116,0.004717137,0,0.000306779,0,0.003298697
150224-24-1,0.027025387,-0.001159189,0,0.000415137,0,0.001053808,0.000942041,0.004566502,0,0.000296982,0,0.003193358
150224-24-1,0.026189076,-0.001123317,0,0.00040229,0,0.001021198,0.000912889,0.00442519,0,0.000287792,0,0.003094538
000634-90-2,0.019332551,-7.71E-05,0,0.000171055,0,0.000439376,0.000593661,0.004695623,0,-0.000714406,0,0.003354016
053555-63-8,0.026040584,-0.001318128,0,0.000432668,0,0.001576388,0.001298004,0.004796244,0,0.000201241,0,0.003354016
150224-16-1,0.028328023,-0.001224216,0,0.000523227,0,0.002039242,0.001163844,0.004762703,0,0.000499748,0,0.003354016
150224-23-0,0.028328023,-0.001237632,0,0.000271675,0,0.00081838,0.001153782,0.004796244,0,0.000637263,0,0.003354016
040321-76-4,0.034925373,-0.001811169,0,0.000184471,0.144222707,0.00050981,0.008539326,0.004729163,0,0.001120241,0.005758846,0.003354016
040321-76-4,0.035521064,-0.00184206,0,0.000187617,0.146682586,0.000518506,0.008684974,0.004809824,0,0.001139348,0.00585707,0.003411223
040321-76-4,0.033252435,-0.001724413,0,0.000175635,0.137314386,0.00048539,0.008130289,0.004502635,0,0.001066582,0.005482995,0.003193358
040321-76-4,0.032223426,-0.001671051,0,0.0001702,0.13306514,0.00047037,0.007878694,0.004363299,0,0.001033576,0.005313322,0.003094538
