CAS NO.,MLOGP2,F02[C-Cl],nROH,P-117,Mor25m,N%,X4v,O-058,LLS_01,H4v,SM12_AEA(dm),O-057
000087-61-6,16.507,6,0,0,0.483,0,1.001,0,0.83,0,3.178,0
000087-68-3,13.388,8,0,0,-0.498,0,0.926,0,0.83,0,2.584,0
000087-82-1,35.979,0,0,0,-2.668,0,4.553,0,0.67,0,7.292,0
000087-83-2,34.47,0,0,0,-1.919,0,3.96,0,0.67,0.096,7.292,0
000087-84-3,22.622,2,0,0,-1.873,0,6.645,0,0.67,0.824,7.292,0
000088-06-2,10.982,6,0,0,0.29,0,1.352,0,0.83,0.052,5.225,1
000088-19-7,0.606,0,0,0,0.003,5,1.661,2,0.83,0.096,3.188,0
000088-44-8,0.415,0,1,0,0.12,4.8,1.566,2,0.67,0.114,5.521,0
000088-72-2,5.02,0,0,0,0.078,5.9,0.768,0,1,0.079,3.032,0
000088-74-4,1.816,0,0,0,0.199,12.5,0.654,0,0.67,0.079,3.032,0
000088-75-5,1.816,0,0,0,0.207,6.7,0.619,0,0.67,0.065,3.032,1
000088-85-7,7.301,0,0,0,-0.054,6.9,1.466,0,0.5,0.261,7.876,1
000088-89-1,2.38,0,0,0,-0.165,15.8,0.974,0,0.67,0.226,7.772,1
000089-59-8,8.078,2,0,0,0.001,5.9,0.946,0,1,0.07,4.726,0
000089-61-2,9.673,4,0,0,0.134,7.1,0.979,0,0.83,0.125,4.726,0
000089-63-4,3.876,2,0,0,0.093,12.5,0.841,0,0.67,0.077,4.726,0
000089-69-0,13.655,6,0,0,0.344,7.1,1.262,0,0.83,0.124,4.928,0
000090-12-0,13.524,0,0,0,0.324,0,1.387,0,0.83,0.063,3.731,0
000090-30-2,18.306,0,0,0,0.786,3.3,2.011,0,0.83,0.124,5.826,0
000090-41-5,9.778,0,0,0,0.486,4.2,1.378,0,0.83,0.039,3.477,0
000090-51-7,0.84,0,1,0,0.533,4,2.014,2,0.5,0.209,6.009,1
000091-15-6,1.97,0,0,0,0.288,14.3,0.678,0,1,0.095,3.03,0
000091-20-3,11.465,0,0,0,0.415,0,1.133,0,0.83,0.023,3.341,0
000091-22-5,4.267,0,0,0,0.392,5.9,1.016,0,1,0.025,3.341,0
000091-23-6,2.893,0,0,0,0.216,5.6,0.781,0,0.83,0.09,3.154,0
000091-58-7,15.567,2,0,0,0.378,0,1.341,0,0.83,0.024,4.343,0
000091-66-7,7.914,0,0,0,0.198,3.8,1.228,0,1,0.08,2.638,0
000091-94-1,12.856,4,0,0,0.465,7.7,1.774,0,0.67,0.189,7.422,0
000091-96-3,5.015,0,0,0,0.193,3.8,2.808,4,0.33,0.58,8.147,0
000092-69-3,9.778,0,0,0,0.35,0,1.284,0,0.83,0.055,4.39,1
000092-70-6,7.4,0,1,0,0.497,0,1.4,1,1,0.14,5.208,2
000092-77-3,15.324,0,0,0,0.76,3,2.13,1,0.83,0.341,7.045,1
000092-83-1,10.724,0,0,0,0.425,0,1.823,0,0.83,0.117,5.215,0
000092-85-3,15.023,0,0,0,0.004,0,3.709,0,0.83,0.037,5.215,0
000092-86-4,27.076,0,0,0,0.096,0,1.813,0,0.67,0.098,5.89,0
000093-46-9,33.535,0,0,0,1.282,4.2,3.504,0,0.5,0.675,7.785,0
000094-52-0,1.868,0,0,0,0.166,17.6,1.034,0,0.67,0.097,4.24,0
000095-15-8,8.13,0,0,0,0.121,0,1.697,0,1,0.009,3.237,0
000095-16-9,2.252,0,0,0,0.103,7.1,1.482,0,1,0,3.237,0
000095-47-6,8.653,0,0,0,0.098,0,0.663,0,1,0.041,2.938,0
000095-48-7,3.456,0,0,0,0.203,0,0.563,0,1,0.039,2.938,1
000095-50-1,12.094,4,0,0,0.333,0,0.711,0,0.83,0,2.938,0
000095-51-2,4.525,2,0,0,0.301,7.1,0.611,0,1,0.047,2.938,0
000095-56-7,5.272,0,0,0,0.303,0,0.737,0,1,0.018,2.938,1
000095-57-8,4.525,2,0,0,0.376,0,0.587,0,1,0.017,2.938,1
000095-64-7,4.808,0,0,0,0.202,5,0.765,0,1,0.077,3.52,0
000095-69-2,6.055,2,0,0,0.181,5.9,0.866,0,1,0.04,3.52,0
000095-74-9,6.055,2,0,0,0.215,5.9,0.798,0,1,0.085,3.52,0
000095-76-1,7.446,4,0,0,0.294,7.1,0.819,0,1,0.015,3.52,0
000095-78-3,4.808,0,0,0,0.169,5,0.76,0,1,0.078,3.52,0
000095-80-7,1.553,0,0,0,0.324,10.5,0.659,0,0.83,0.075,3.52,0
000095-82-9,7.446,4,0,0,0.339,7.1,0.813,0,1,0.043,3.52,0
000095-94-3,21.476,8,0,0,0.47,0,1.265,0,0.83,0,4.372,0
000096-12-8,8.746,1,0,0,-0.773,0,0.643,0,1,0.197,0,0
000096-18-4,6.781,4,0,0,0.014,0,0.371,0,1,0.067,0,0
000096-29-7,0.344,0,1,0,-0.008,6.7,0.071,0,1,0.023,0,0
000096-45-7,0.442,0,0,0,0.115,16.7,0.619,0,1,0,1.372,0
000096-91-3,2.032,0,0,0,0.075,15.8,0.87,0,0.67,0.183,6.425,1
000096-96-8,1.395,0,0,0,0.325,10,0.809,0,0.67,0.147,4.742,0
000097-23-4,14.759,4,0,0,0.394,0,1.986,0,0.83,0.14,5.72,2
000098-08-8,11.358,0,0,0,0.604,0,0.627,0,0.83,0.048,2.719,0
000098-15-7,15.588,2,0,0,0.605,0,0.855,0,0.83,0.046,4.186,0
000098-54-4,7.914,0,0,0,0.096,0,0.961,0,1,0.151,4.496,1
000098-73-7,8.676,0,1,0,0.03,0,1.113,1,1,0.27,4.909,1
000098-82-8,10.62,0,0,0,0.081,0,0.838,0,0.83,0.034,2.234,0
000098-84-0,3.704,0,0,0,0.185,5,0.757,0,1,0.03,2.234,0
000098-95-3,3.562,0,0,0,0.126,7.1,0.55,0,1,0.05,2.234,0
000099-08-1,5.02,0,0,0,0.075,5.9,0.742,0,1,0.067,2.938,0
000099-09-2,1.816,0,0,0,0.205,12.5,0.638,0,0.67,0.063,2.938,0
000099-54-7,9.673,4,0,0,0.261,7.1,0.891,0,0.83,0.047,3.541,0
000099-62-7,17.096,0,0,0,-0.076,0,1.277,0,0.83,0.116,3.46,0
000099-65-0,3.557,0,0,0,-0.017,12.5,0.72,0,0.67,0.092,3.46,0
000099-71-8,7.914,0,0,0,0.129,0,1.039,0,1,0.097,3.437,1
000100-00-5,6.293,2,0,0,0.199,7.1,0.689,0,1,0.05,2.868,0
000100-01-6,1.816,0,0,0,0.19,12.5,0.596,0,0.67,0.092,2.868,0
000100-02-7,1.816,0,0,0,0.154,6.7,0.574,0,0.67,0.064,2.868,1
000100-17-4,2.893,0,0,0,0.161,5.6,0.704,0,0.83,0.137,2.948,0
000100-26-5,0.017,0,2,0,0.168,5.9,0.647,2,0.67,0.182,3.426,2
