CAS,nN,nHM,O%,MATS1e,GATS1p,GATS7p,GGI1,GGI2,nCq,nCrt,C-040,H-048,H-051,O-059
000100-18-5,0,0,0,0,1.208,0.806,3,1.778,0,0,0,0,0,0
040766-31-2,0,0,0,0.032,1.002,0.807,2.5,2.222,0,0,0,0,0,0
038640-62-9,0,0,0,0.034,1.064,0.556,3,2,0,0,0,0,0,0
074921-47-4,0,0,0,0.042,0.982,1.002,3.5,2.444,0,0,0,0,0,0
000080-54-6,0,0,2.9,0,1.213,1.181,5,2,1,0,0,0,1,0
000091-15-6,2,0,0,0,0.787,0,1.5,1.111,0,0,2,0,0,0
000119-06-2,0,0,4.2,0.024,1.43,0.991,2.5,2,0,0,2,0,0,0
026761-40-0,0,0,5.1,0.02,1.416,0.991,4.5,2.444,0,0,2,0,0,0
013936-21-5,0,0,5.1,0.001,0.95,1.153,3,2.444,0,0,0,0,0,0
004162-45-2,0,4,8.5,-0.1,0.639,1.242,7,4.444,1,0,0,0,0,0
001241-94-7,0,1,7.7,-0.196,1.585,0.762,5,1.778,0,0,0,0,0,1
001200-14-2,0,0,3.8,0,1.135,0.919,2,0.889,0,0,0,0,0,0
000078-40-0,0,1,15.4,-0.258,2.175,0.409,3,1.333,0,0,0,0,0,3
013674-84-5,0,4,11.4,-0.197,1.64,0.793,6,2,0,0,0,0,0,3
000078-42-2,0,1,5,-0.167,1.809,1.011,6,2.667,0,0,0,0,0,3
002528-38-3,0,1,7.5,-0.189,1.924,1.63,3,1.333,0,0,0,0,0,3
000335-67-1,0,0,7.7,-0.168,1.533,0.809,12.5,9.556,0,0,1,0,0,0
001623-05-8,0,0,6.3,-0.298,1.684,0,7.5,4.444,0,0,0,0,0,1
000100-37-8,1,0,4.3,-0.05,1.837,0,1.5,0.667,0,0,0,0,0,0
000100-74-3,1,0,4.8,0.048,1.796,0,1,0.444,0,0,0,0,0,1
000124-28-7,1,0,0,0.123,1.615,0.976,1.5,0.444,0,0,0,0,0,0
005332-73-0,1,0,5.9,-0.081,1.89,0,0.5,0.222,0,0,0,0,0,1
007580-85-0,0,0,9.1,-0.058,1.801,0,3,0.667,0,0,0,0,0,1
000529-36-2,0,1,0,-0.094,0.844,0,1.5,1.333,0,0,0,0,0,0
000106-46-7,0,2,0,0,0.575,0,2,0.889,0,0,0,0,0,0
000106-43-4,0,1,0,0,0.788,0,2,0.889,0,0,0,0,0,0
000087-61-6,0,3,0,0,0.499,0,2,1.556,0,0,0,0,0,0
000095-50-1,0,2,0,0,0.575,0,1.5,1.111,0,0,0,0,0,0
000099-65-0,2,0,33.3,0.474,0.241,0,3,1.556,0,0,0,0,0,0
000608-93-5,0,5,0,0,0.478,0,3,2.222,0,0,0,0,0,0
025512-42-9,0,2,0,0,0.64,1.346,2,1.778,0,0,0,0,0,0
000095-82-9,1,2,0,-0.161,0.462,0,2.5,1.333,0,0,0,0,0,0
016063-70-0,1,3,0,-0.068,0.551,0,2.5,1.333,0,0,0,0,0,0
002142-68-9,0,1,5.9,0,0.807,0,2,1.333,0,0,0,0,3,0
000623-26-7,2,0,0,0,0.787,0,2,0.889,0,0,2,0,0,0
000090-94-8,2,0,2.5,0.038,1.174,1.247,4.5,3.111,0,0,0,0,0,0
000096-18-4,0,3,0,-0.011,0.664,0,1.5,0.667,0,0,0,0,0,0
000051-79-6,1,0,15.4,-0.172,1.846,0,1.5,0.444,0,0,0,0,0,0
003886-69-9,1,0,0,-0.213,0.992,0,1.5,0.889,0,0,0,0,0,0
000626-23-3,1,0,0,0.006,1.675,0.399,2.5,0.889,0,0,0,0,0,0
000072-20-8,0,6,3.7,-0.011,0.543,3.092,6,5.889,0,6,0,0,0,1
000465-73-6,0,6,0,0.013,0.501,3.137,6,5.778,0,6,0,0,0,0
006842-15-5,0,0,0,-0.052,1.25,0.954,0.5,0.222,0,0,0,0,0,0
004390-04-9,0,0,0,-0.043,1.563,1.911,9,1.556,3,0,0,0,0,0
004237-44-9,0,0,3.4,-0.088,0.901,0.919,2,1.778,0,0,0,0,0,0
025640-71-5,0,0,1.6,-0.053,0.922,0.99,4,3.556,0,0,0,0,0,0
000089-72-5,0,0,4,-0.087,1.118,0.451,2,1.556,0,0,0,0,0,0
000092-69-3,0,0,4.3,-0.106,0.797,0.985,2,1.333,0,0,0,0,0,0
000576-26-1,0,0,5.3,-0.107,1.02,0,2,1.556,0,0,0,0,0,0
039515-51-0,0,0,8,-0.004,0.945,1.218,2.5,0.667,0,0,0,0,0,0
000583-78-8,0,2,7.7,-0.15,0.5,0,2.5,1.333,0,0,0,0,0,0
000095-56-7,0,1,7.7,-0.162,0.521,0,1.5,1.111,0,0,0,0,0,0
000120-95-6,0,0,2.3,-0.062,1.263,1.423,6.5,3.778,2,0,0,0,0,0
001570-64-5,0,1,6.3,-0.115,0.737,0,2.5,1.333,0,0,0,0,0,0
000088-18-6,0,0,4,-0.087,1.118,1.622,3.5,1.778,1,0,0,0,0,0
004130-42-1,0,0,2.3,-0.062,1.263,1.278,7,2.889,2,0,0,0,0,0
002219-82-1,0,0,3.6,-0.081,1.154,0,4,2.222,1,0,0,0,0,0
002409-55-4,0,0,3.6,-0.081,1.154,0,4.5,2,1,0,0,0,0,0
000084-51-5,0,0,6.7,0,0.848,1.152,3,2.444,0,0,0,0,0,0
000732-26-3,0,0,2,-0.057,1.29,0.946,9,3.778,3,0,0,0,0,0
002173-57-1,0,0,3.2,0.044,1.085,0.969,3,1.333,0,0,0,0,0,0
000098-54-4,0,0,4,-0.087,1.118,0,4,1.778,1,0,0,0,0,0
005428-54-6,1,0,16.7,0.174,0.894,0,3,1.778,0,0,0,0,0,0
000700-38-9,1,0,16.7,0.174,0.894,0.031,3,1.556,0,0,0,0,0,0
000106-50-3,2,0,0,-0.408,0.732,0,2,0.889,0,0,0,0,0,0
000064-10-8,2,0,5.6,-0.187,0.9,0.599,2,0.444,0,0,0,0,0,0
005794-04-7,0,0,0,0.059,1.204,0,3.5,2.444,1,2,0,0,0,0
016219-75-3,0,0,0,0.061,1.061,0,2,0.889,0,2,0,0,0,0
000133-14-2,0,4,14.3,0.107,0.608,1.029,5.5,3.333,0,0,2,0,0,0
000156-10-5,2,0,4,0.209,0.842,1.097,2.5,0.889,0,0,0,0,0,0
002039-85-2,0,1,0,0,0.759,3.261,2,0.667,0,0,0,0,0,0
000098-83-9,0,0,0,0,1,0,1.5,0.889,0,0,0,0,0,0
000629-54-9,1,0,2,-0.052,1.499,0.962,1.5,0.444,0,0,1,0,2,0
000618-36-0,1,0,0,-0.213,0.992,0,1.5,0.889,0,0,0,0,0,0
000105-05-5,0,0,0,0,1.15,0,2,0.889,0,0,0,0,0,0
007525-62-4,0,0,0,0,1.05,0.566,2,0.667,0,0,0,0,0,0
028575-17-9,0,0,0,0.032,1.002,0.926,2,1.778,0,0,0,0,0,0
042343-17-9,0,0,0,0.03,1.057,0.828,2.5,2.222,0,0,0,0,0,0
000319-86-8,0,6,0,0,0.53,0,3,2.667,0,0,0,0,0,0
000693-98-1,2,0,0,-0.114,1.265,0,1,0.444,0,0,0,1,3,0
000591-35-5,0,2,7.7,-0.15,0.5,0,3,0.667,0,0,0,0,0,0
000591-20-8,0,1,7.7,-0.162,0.521,0,2,0.667,0,0,0,0,0,0
002216-51-5,0,0,3.2,-0.067,1.427,1.277,3,1.556,0,2,0,0,0,0
006731-36-8,0,0,7.3,0.43,1.583,0.82,11,2.444,1,1,0,0,0,0
000124-48-1,0,3,0,-0.209,0.592,0,1.5,0,0,0,0,0,0,0
013029-08-8,0,2,0,0,0.64,1.235,2,1.778,0,0,0,0,0,0
000141-86-6,3,0,0,-0.411,0.814,0,2,0.667,0,0,0,0,0,0
016867-04-2,1,0,15.4,-0.231,0.918,0,1.5,1.111,0,0,1,1,0,0
001982-47-4,2,1,5.7,-0.049,1.014,0.96,5,2,0,0,0,0,0,0
002008-58-4,1,2,6.3,-0.129,0.506,0,2.5,1.556,0,0,1,0,0,0
025265-71-8,0,0,13,-0.129,1.766,0.102,2.5,0.889,0,0,0,0,0,1
036355-01-8,0,6,0,0.008,0.473,1.521,4,3.556,0,0,0,0,0,0
000452-58-4,3,0,0,-0.411,0.814,0,1.5,1.111,0,0,0,0,0,0
004684-94-0,1,1,14.3,-0.178,0.72,0,2.5,1.111,0,0,1,0,0,0
000050-79-3,0,2,13.3,-0.129,0.542,0,3,1.556,0,0,1,0,0,0
000527-20-8,1,5,0,-0.199,0.214,0,3,2.667,0,0,0,0,0,0
000540-49-8,0,2,0,-0.03,0.502,0,0.5,0.222,0,0,0,2,0,0
000055-18-5,2,0,5.9,0.421,1.858,0,1.5,0.667,0,0,0,0,0,0
057057-83-7,0,3,11.8,-0.175,0.62,2.982,3,2.222,0,0,0,0,0,0
059756-60-4,1,0,2.6,-0.009,0.951,0.904,6,3.111,0,0,0,2,0,0
000626-43-7,1,2,0,-0.161,0.462,0,3,0.667,0,0,0,0,0,0
000075-27-4,0,3,0,-0.228,0.536,0,1.5,0,0,0,0,0,0,0
000078-94-4,0,0,9.1,0,1.371,0,1.5,0.444,0,0,0,0,3,0
000082-49-5,0,1,17.9,0.064,1.119,1.329,4.5,3.111,0,0,0,0,0,0
000099-30-9,2,2,12.5,0.11,0.392,0.025,3.5,2,0,0,0,0,0,0
000099-34-3,2,0,31.6,0.177,0.739,0.028,4.5,2,0,0,1,0,0,0
000050-48-6,1,0,0,0.133,1.052,1.053,3,2.222,0,0,0,0,0,0
,2,3,17.5,-0.317,1.52,0.769,5.5,3.111,0,0,0,2,0,2
085721-33-1,3,0,6.3,-0.058,1.265,0.769,4.5,2.944,0,1,1,1,1,0
000637-07-0,0,1,9.7,-0.018,1.17,0.56,5,2.444,0,0,1,0,0,0
000050-18-0,2,3,6.9,-0.23,1.599,0.643,3,2,0,0,0,0,0,1
000469-62-5,1,0,3.7,0.033,1.23,1.076,6,2.889,0,0,1,0,2,0
000114-07-8,1,0,11,-0.067,1.551,1.254,17,10.222,0,7,1,2,3,5
083799-24-0,1,0,5.3,-0.072,1.062,1.007,8.5,6.222,1,1,1,0,0,0
003778-73-2,2,3,6.9,-0.23,1.599,0.702,3,2,0,0,0,0,0,1
073334-07-3,3,3,14.3,-0.182,0.546,1.447,7.5,4.444,0,0,3,0,0,1
000657-24-9,5,0,0,-0.365,1.621,0,3,1.111,0,0,0,0,0,0
00000021672,8,0,8.2,-0.165,1.231,1.122,8.5,4.222,0,1,3,0,3,0
065271-80-9,4,0,10,-0.182,1.045,1.126,4,3.111,0,0,0,0,0,0
000098-92-0,2,0,6.7,-0.163,0.918,0,1.5,0.889,0,0,1,0,0,0
000079-57-2,2,0,15.8,-0.197,0.931,0.826,9,6.667,0,4,1,0,0,0
000061-33-6,2,1,9.8,-0.079,0.946,0.894,6,2.889,0,1,3,1,2,0
000068-35-9,4,1,7.4,0.001,1.258,0.612,4.5,2.222,0,0,0,0,0,0
000723-46-6,3,1,7.9,0.134,1.486,0.687,5.5,2.444,0,0,0,1,0,1
000083-67-0,4,0,8,-0.136,1.578,0.009,3,2.222,0,0,1,3,0,0
089987-06-4,0,4,23.1,-0.445,1.487,0.356,7,2.444,0,0,0,0,0,0
000055-63-0,3,0,45,0.265,1.809,0.108,4.5,1.111,0,0,0,0,0,3
000075-04-7,1,0,0,-0.291,1.794,0,0.5,0,0,0,0,0,0,0
000124-40-3,1,0,0,-0.052,2.177,0,0.5,0,0,0,0,0,0,0
000109-89-7,1,0,0,-0.013,1.846,0,0.5,0.222,0,0,0,0,0,0
000075-50-3,1,0,0,0.193,2.225,0,1.5,0,0,0,0,0,0,0
000107-15-3,2,0,0,-0.422,1.61,0,0.5,0.222,0,0,0,0,0,0
001643-20-5,1,0,2.1,0.331,1.661,0.962,3,0.667,0,0,0,0,0,0
000067-56-1,0,0,16.7,-0.246,2.353,0,0,0,0,0,0,0,0,0
000067-63-0,0,0,8.3,-0.127,1.768,0,1.5,0,0,0,0,0,0,0
000075-21-8,0,0,14.3,-0.037,1.733,0,0,0,0,0,0,0,0,1
000106-88-7,0,0,7.7,0.026,1.627,0,1,0.5,0,0,0,0,0,1
000107-21-1,0,0,20,-0.291,1.827,0,0.5,0.222,0,0,0,0,0,0
000110-63-4,0,0,12.5,-0.177,1.649,0,1.5,0.667,0,0,0,0,0,0
000056-81-5,0,0,21.4,-0.31,1.647,0,1.5,0.667,0,0,0,0,0,0
000107-18-6,0,0,10,-0.16,1.418,0,0.5,0.222,0,0,0,0,0,0
000107-19-7,0,0,12.5,-0.22,1.054,0,0.5,0.222,0,0,0,1,0,0
034375-28-5,1,0,13.3,-0.27,1.838,0,0.5,0.222,0,0,0,2,0,0
000141-43-5,1,0,9.1,-0.299,1.714,0,0.5,0.222,0,0,0,0,0,0
000110-97-4,1,0,8.3,-0.162,1.663,0.894,2.5,0.667,0,0,0,0,0,0
000156-87-6,1,0,7.1,-0.238,1.632,0,0.5,0.222,0,0,0,0,0,0
002426-08-6,0,0,8.7,0.017,1.722,0.849,1,0.5,0,0,0,0,0,2
000107-98-2,0,0,12.5,-0.095,1.952,0,1.5,0.444,0,0,0,0,0,1
000111-76-2,0,0,9.1,-0.058,1.801,0.799,0.5,0.222,0,0,0,0,0,1
002517-43-3,0,0,10.5,-0.073,1.861,0,1.5,0.667,0,0,0,0,0,1
000111-46-6,0,0,17.6,-0.19,1.902,0.013,0.5,0.222,0,0,0,0,0,1
000123-34-2,0,0,14.3,-0.151,1.594,0.974,1.5,0.667,0,0,0,0,0,1
000112-27-6,0,0,16.7,-0.147,1.936,1.218,0.5,0.222,0,0,0,0,0,2
000112-35-6,0,0,14.8,-0.082,2.05,1.333,0.5,0.222,0,0,0,0,0,3
000111-48-8,0,1,11.8,-0.187,0.999,0.006,0.5,0.222,0,0,0,0,0,0
000075-07-0,0,0,14.3,-0.002,1.74,0,0.5,0,0,0,0,0,3,0
000111-30-8,0,0,13.3,-0.001,1.493,0,0.5,0.222,0,0,0,0,4,0
000107-22-2,0,0,33.3,-0.056,1.488,0,0.5,0.222,0,0,0,0,0,0
004170-30-3,0,0,9.1,0,1.371,0,0.5,0.222,0,0,0,0,0,0
000123-54-6,0,0,13.3,-0.001,1.493,0,2.5,0.444,0,0,0,0,8,0
003785-34-0,0,2,20,-0.1,0.796,0.817,2.5,1.111,0,0,2,0,0,0
000123-42-2,0,0,10,-0.076,1.539,0,4,0.667,0,0,0,0,5,0
000064-18-6,0,0,40,-0.505,1.778,0,0.5,0,0,0,1,0,0,0
000075-12-7,1,0,16.7,-0.36,1.557,0,0.5,0,0,0,1,0,0,0
000108-24-7,0,0,23.1,-0.064,1.763,0,2.5,0.444,0,0,2,0,6,0
000127-19-5,1,0,6.7,0.005,1.934,0,2,0.889,0,0,1,0,3,0
000079-20-9,0,0,18.2,-0.048,2.007,0,1.5,0.444,0,0,1,0,3,0
000141-78-6,0,0,14.3,-0.021,1.881,0,1.5,0.444,0,0,1,0,3,0
000108-05-4,0,0,16.7,-0.043,1.645,0,1.5,0.444,0,0,1,1,3,0
000105-46-4,0,0,10,0.003,1.755,0,2.5,0.667,0,0,1,0,3,0
000105-38-4,0,0,13.3,-0.019,1.614,0,1.5,0.667,0,0,1,1,2,0
000077-68-9,0,0,7.7,-0.031,1.607,1.749,5.5,3.111,1,0,1,0,1,0
000110-15-6,0,0,28.6,-0.247,1.358,0,2.5,0.667,0,0,2,0,4,0
001119-40-0,0,0,17.4,-0.042,1.8,0.984,2.5,1.111,0,0,2,0,4,0
040677-77-8,0,0,3.2,0.027,1.502,0.989,2.5,1.111,0,0,2,0,4,0
000111-17-1,0,1,19,-0.162,0.982,0.427,2.5,0.667,0,0,2,0,4,0
000301-02-0,1,0,1.8,-0.051,1.443,0.973,1.5,0.444,0,0,1,0,2,0
000112-62-9,0,0,3.5,0.026,1.529,0.972,1.5,0.667,0,0,1,0,2,0
000079-10-7,0,0,22.2,-0.198,1.225,0,1.5,0.444,0,0,1,0,0,0
000096-33-3,0,0,16.7,-0.043,1.645,0,1.5,0.667,0,0,1,0,0,0
000818-61-1,0,0,18.8,-0.132,1.557,0.297,1.5,0.667,0,0,1,0,0,0
000079-06-1,1,0,10,-0.193,1.151,0,1.5,0.444,0,0,1,0,0,0
000079-41-4,0,0,16.7,-0.135,1.297,0,2,0.889,0,0,1,0,0,0
000080-62-6,0,0,13.3,-0.019,1.614,0,2,1.111,0,0,1,0,0,0
000106-91-2,0,0,15,-0.038,1.52,1.046,2.5,1.389,0,0,1,0,0,1
002867-47-2,1,0,7.7,0.005,1.733,0.52,3,1.333,0,0,1,0,0,0
000110-44-1,0,0,12.5,-0.103,1.191,0.283,1.5,0.444,0,0,1,0,0,0
000110-17-8,0,0,33.3,-0.331,1.075,0,2.5,0.667,0,0,2,0,0,0
000110-16-7,0,0,33.3,-0.331,1.075,0,2.5,0.667,0,0,2,0,0,0
000108-31-6,0,0,33.3,-0.129,1.174,0,2,0.667,0,0,2,0,0,0
000079-11-8,0,1,25,-0.295,0.805,0,1.5,0.444,0,0,1,0,0,0
000079-04-9,0,2,14.3,-0.074,0.631,0,1.5,0.444,0,0,1,0,0,0
000598-78-7,0,1,18.2,-0.17,0.951,0,2,0.889,0,0,1,0,0,0
010302-94-0,0,1,16.7,-0.056,1.334,1.163,3,1.556,0,0,2,0,0,0
000617-45-8,1,0,25,-0.329,1.247,0,3,1.111,0,0,2,0,2,0
000074-79-3,4,0,7.7,-0.299,1.317,0.87,3,1.333,0,0,1,0,0,0
000079-14-1,0,0,33.3,-0.411,1.528,0,1.5,0.444,0,0,1,0,0,0
000068-11-1,0,1,22.2,-0.267,1.059,0,1.5,0.444,0,0,1,0,0,0
000617-48-1,0,0,33.3,-0.358,1.3,0,3,1.111,0,0,2,0,2,0
000133-37-9,0,0,37.5,-0.466,1.245,0,3,1.778,0,0,2,0,0,0
000298-12-4,0,0,42.9,-0.395,1.338,0,1.5,0.444,0,0,1,0,0,0
000105-45-3,0,0,18.8,-0.037,1.709,0,2.5,0.667,0,0,1,0,5,0
000078-82-0,1,0,0,-0.01,1.447,0,1.5,0.444,0,0,1,0,1,0
000111-69-3,2,0,0,-0.001,1.273,0,0.5,0.222,0,0,2,0,4,0
000126-98-7,1,0,0,-0.005,1.206,0,1.5,0.444,0,0,1,0,0,0
000078-97-7,1,0,10,-0.197,1.332,0,1.5,0.444,0,0,1,0,0,0
000372-09-8,1,0,22.2,-0.261,1.145,0,1.5,0.444,0,0,2,0,2,0
000075-75-2,0,1,33.3,-0.015,1.934,0,3,0,0,0,0,0,0,0
000142-22-3,0,0,18.9,-0.075,1.786,1.063,2.5,1.111,0,0,0,0,0,1
000057-13-6,2,0,12.5,-0.555,1.225,0,1.5,0,0,0,0,0,0,0
000556-89-8,3,0,30,-0.173,1.232,0,2.5,0.444,0,0,0,0,0,0
006104-30-9,4,0,7.7,-0.234,1.475,0.062,4,1.111,0,0,0,1,0,0
000107-11-9,1,0,0,-0.3,1.347,0,0.5,0.222,0,0,0,0,0,0
000556-52-5,0,0,18.2,-0.165,1.608,0,1,0.5,0,0,0,0,0,1
000095-08-9,0,0,10.3,0,1.733,0.979,3.5,2.444,0,0,2,0,2,2
000869-29-4,0,0,19,-0.057,1.667,0.577,3.5,0.667,0,0,2,1,6,0
002439-35-2,1,0,8.7,-0.006,1.766,0.903,2.5,0.889,0,0,1,0,0,0
000683-10-3,1,0,3.8,0.03,1.658,0.968,4,1.111,0,0,1,0,0,0
001758-73-2,2,1,20,-0.419,1.259,0,2,0.889,0,0,0,0,0,0
000078-83-1,0,0,6.7,-0.108,1.698,0,1.5,0.444,0,0,0,0,0,0
103429-90-9,0,0,11.1,-0.003,1.822,1.458,4,1.333,0,0,1,0,3,1
000071-43-2,0,0,0,0,0.917,0,0,0,0,0,0,0,0,0
000106-42-3,0,0,0,0,1.063,0,2,0.889,0,0,0,0,0,0
000100-42-5,0,0,0,0,0.938,0,1,0.444,0,0,0,0,0,0
000100-41-4,0,0,0,0,1.063,0,1,0.444,0,0,0,0,0,0
013014-18-1,0,5,0,0,0.476,0,4.5,2,0,0,0,0,0,0
000100-44-7,0,1,0,0,0.788,0,1,0.444,0,0,0,0,0,0
000103-84-4,1,0,5.3,-0.053,1.051,0.754,2,0.444,0,0,1,0,3,0
000064-04-0,1,0,0,-0.213,0.992,0,1,0.444,0,0,0,0,0,0
000100-46-9,1,0,0,-0.244,0.917,0,1,0.444,0,0,0,0,0,0
000108-95-2,0,0,7.7,-0.145,0.853,0,1,0.444,0,0,0,0,0,0
001319-77-3,0,0,6.3,-0.122,0.949,0,1.5,1.111,0,0,0,0,0,0
050985-45-0,0,0,1.9,-0.057,1.223,0.973,2,0.667,0,0,0,0,0,0
000123-31-9,0,0,14.3,-0.23,0.797,0,2,0.889,0,0,0,0,0,0
000103-73-1,0,0,5.3,0.032,1.204,0.66,1,0.444,0,0,0,0,0,0
000122-60-1,0,0,9.5,-0.009,1.2,0.887,1.5,0.722,0,0,0,0,0,1
000614-80-2,1,0,10,-0.142,1.007,1.262,2.5,1.111,0,0,1,0,3,0
000554-84-7,1,0,20,0.155,0.784,0.031,2.5,1.111,0,0,0,0,0,0
000100-51-6,0,0,6.3,-0.122,0.949,0,1,0.444,0,0,0,0,0,0
002495-37-6,0,0,8,0.002,1.151,1.43,2.5,1.333,0,0,1,0,0,0
000096-09-3,0,0,5.9,0.019,1.026,0,1,0.5,0,0,0,0,0,1
000104-54-1,0,0,5,-0.108,0.958,0,1,0.444,0,0,0,0,0,0
000122-03-2,0,0,4.3,0,1.099,1.577,2.5,1.333,0,0,0,0,0,0
000123-08-0,0,0,13.3,-0.113,0.867,0,2,0.889,0,0,0,0,0,0
000121-32-4,0,0,13.6,-0.089,1.142,0.795,2.5,1.333,0,0,0,0,0,0
000120-14-9,0,0,13.6,-0.034,1.308,0.435,2.5,1.333,0,0,0,0,0,0
000122-00-9,0,0,5,0,1.054,1.313,2.5,1.333,0,0,0,0,3,0
000099-94-5,0,0,11.1,-0.094,0.95,0.309,2.5,1.333,0,0,1,0,0,0
000084-74-2,0,0,9.5,-0.001,1.356,1.09,2.5,2,0,0,2,0,0,0
000084-61-7,0,0,8,0.005,1.238,1.277,3.5,2,0,0,2,0,0,0
000959-26-2,0,0,18.8,-0.131,1.256,0.982,3,2.222,0,0,2,0,0,0
000120-61-6,0,0,16.7,-0.045,1.281,0.524,3,2.222,0,0,2,0,0,0
000100-21-0,0,0,22.2,-0.184,0.829,0.02,3,1.778,0,0,2,0,0,0
000085-44-9,0,0,20,-0.044,0.918,0,2,1.556,0,0,2,0,0,0
000136-36-7,0,0,11.5,-0.08,0.908,1.139,3,1.333,0,0,1,0,0,0
000552-30-7,0,0,27.8,-0.138,0.867,0.442,3.5,2.222,0,0,3,0,0,0
000120-51-4,0,0,7.1,0.002,0.983,1.013,2,1.333,0,0,1,0,0,0
000495-69-2,1,0,13.6,-0.129,1.002,1.042,2.5,1.333,0,0,2,0,0,0
000122-01-0,0,2,7.1,0,0.609,0,2.5,1.333,0,0,1,0,0,0
000119-68-6,1,0,10,-0.142,1.007,0.611,2,1.333,0,0,1,0,0,0
000122-04-3,1,1,18.8,0.236,0.654,1.542,3,1.778,0,0,1,0,0,0
000149-91-7,0,0,27.8,-0.366,0.725,0.019,3.5,2,0,0,1,0,0,0
000092-15-9,1,0,10.7,-0.047,1.231,1.13,3.5,1.333,0,0,1,0,5,0
000050-78-2,0,0,19,-0.108,1.085,0.535,3,1.333,0,0,2,0,3,0
000140-53-4,1,1,0,0,0.745,1.797,2,0.889,0,0,1,0,2,0
000100-47-0,1,0,0,0,0.84,0,1,0.444,0,0,1,0,0,0
000140-29-4,1,0,0,0,0.92,0.311,1,0.444,0,0,1,0,2,0
000098-09-9,0,2,13.3,0.217,1.104,0,3,1.333,0,0,0,0,0,0
000098-67-9,0,1,23.5,-0.043,1.343,0.019,4,1.778,0,0,0,0,0,0
001129-41-5,1,0,8.7,-0.052,1.227,0.795,3,0.889,0,0,0,0,0,0
000138-86-3,0,0,0,0,1.25,0,2.5,1.333,0,1,0,0,0,0
000099-82-1,0,0,0,0,1.45,1.243,2.5,1.333,0,2,0,0,0,0
000101-83-7,1,0,0,0.034,1.372,0.986,1.5,0.444,0,0,0,0,0,0
000101-43-9,0,0,7.1,0.012,1.406,0.978,2.5,1.111,0,0,1,0,0,0
031906-04-4,0,0,5.4,-0.049,1.324,1.256,4.5,1.333,0,1,0,0,1,0
000108-94-1,0,0,5.9,0,1.33,0,1,0.444,0,0,0,0,4,0
000563-04-2,0,1,8.5,-0.207,1.477,0.431,7.5,2,0,0,0,0,0,0
000104-87-0,0,0,5.9,0,0.998,0,2,0.889,0,0,0,0,0,0
001745-81-9,0,0,5,-0.108,0.958,0.757,1.5,1.111,0,0,0,0,0,0
000099-63-8,0,2,12.5,0,0.639,0,3,1.556,0,0,2,0,0,0
000057-11-4,0,0,3.6,-0.038,1.512,0.965,1.5,0.444,0,0,1,0,2,0
000092-52-4,0,0,0,0.036,0.837,0.906,1,0.889,0,0,0,0,0,0
000132-29-6,0,1,8.3,-0.21,1.388,0.827,5,2.222,0,0,0,0,0,0
000482-05-3,0,0,14.3,-0.118,0.789,0.918,3,2.222,0,0,2,0,0,0
000135-19-3,0,0,5.3,-0.118,0.758,0,2,1.111,0,0,0,0,0,0
000063-25-2,1,0,7.7,-0.047,1.012,1.043,2.5,1.556,0,0,0,0,0,0
000086-55-5,0,0,9.5,-0.087,0.777,0.293,2,1.556,0,0,1,0,0,0
000080-56-8,0,0,0,0.059,1.204,0,3.5,2.222,1,2,0,0,0,0
000084-65-1,0,0,8.3,0,0.757,1.236,2,2.222,0,0,0,0,0,0
000057-57-8,0,0,22.2,-0.074,1.509,0,1,0.333,0,0,1,0,2,0
000087-41-2,0,0,12.5,-0.024,0.97,0,1.5,1.333,0,0,1,0,0,0
000098-00-0,0,0,15.4,-0.151,1.161,0,1,0.444,0,0,0,1,0,0
000109-99-9,0,0,7.7,0.026,1.627,0,0,0,0,0,0,0,0,1
000097-99-4,0,0,11.8,-0.088,1.563,0,1,0.444,0,0,0,0,0,1
000517-23-7,0,0,17.6,-0.03,1.426,0,2,1.333,0,1,1,0,4,0
000085-41-6,1,0,12.5,-0.073,0.806,0,2,1.556,0,0,2,0,0,0
000120-72-9,1,0,0,-0.085,0.81,0,1,0.889,0,0,0,1,0,0
000520-45-6,0,0,20,-0.033,1.264,1.429,3.5,1.556,0,1,1,0,4,0
000120-57-0,0,0,17.6,-0.068,1.116,0.014,2,1.111,0,0,0,2,0,0
000096-49-1,0,0,30,-0.176,1.851,0,1,0.444,0,0,0,0,0,0
001120-71-4,0,1,23.1,0.145,1.761,0,2.5,0.889,0,0,0,0,0,1
000091-64-5,0,0,11.8,-0.023,0.923,0.014,2,1.111,0,0,1,0,0,0
000109-00-2,1,0,8.3,-0.185,0.96,0,1,0.444,0,0,0,0,0,0
000499-83-2,1,0,23.5,-0.243,0.905,0.747,3,1.556,0,0,2,0,0,0
000828-00-2,0,0,15.4,-0.04,1.765,1.061,4,0.667,0,0,1,2,3,2
000067-52-7,2,0,23.1,-0.551,0.964,0,3,0.667,0,0,0,0,0,0
000100-97-0,4,0,0,0.022,1.788,0,3,0,0,0,0,12,0,0
000096-54-8,1,0,0,0.137,1.282,0,1,0.444,0,0,0,2,0,0
000072-87-7,1,0,20,-0.241,1.425,0.77,4,2.222,0,0,1,0,3,0
000056-40-6,1,0,20,-0.36,1.423,0,1.5,0.444,0,0,1,0,0,0
000107-10-8,1,0,7.7,-0.007,1.635,0,0.5,0.222,0,0,1,0,0,0
000087-99-0,0,0,22.7,-0.326,1.501,0.01,2.5,1.778,0,0,0,0,0,0
000987-78-0,4,2,19.3,-0.334,1.96,0.732,11.5,4.444,0,0,1,2,0,4
