CAS,nN,nHM,O%,MATS1e,GATS1p,GATS7p,GGI1,GGI2,nCq,nCrt,C-040,H-048,H-051,O-059
000062-53-3,1,0,0,-0.289,0.815,0,1,0.444,0,0,0,0,0,0
000091-66-7,1,0,0,0.154,1.29,0.694,1.5,1.111,0,0,0,0,0,0
000103-69-5,1,0,0,-0.032,1.117,0.684,1,0.444,0,0,0,0,0,0
000122-39-4,1,0,0,-0.045,0.87,1.142,1.5,0.444,0,0,0,0,0,0
000793-24-8,2,0,0,-0.022,1.104,1.157,4.5,1.111,0,0,0,0,0,0
000074-31-7,2,0,0,-0.072,0.854,1.079,3,0.889,0,0,0,0,0,0
002095-06-9,1,0,6.7,0.006,1.268,0.88,2.5,1.222,0,0,0,0,0,2
000095-53-4,1,0,0,-0.244,0.917,0,1.5,1.111,0,0,0,0,0,0
000108-42-9,1,1,0,-0.176,0.597,0,2,0.667,0,0,0,0,0,0
040027-50-7,1,0,6.1,0.017,1.283,0.961,3,1.667,0,0,0,0,0,2
000122-80-5,2,0,4.8,-0.156,0.979,0.89,2,0.667,0,0,1,0,0,0
053906-68-6,1,1,0,0.276,0.881,0,1.5,1.111,0,0,0,0,0,0
000634-93-5,1,3,0,-0.165,0.366,0,3,1.556,0,0,0,0,0,0
004152-09-4,2,0,0,-0.172,1.101,1.139,1,0.444,0,0,0,0,0,0
000103-83-3,1,0,0,-0.032,1.117,0.746,1,0.444,0,0,0,0,0,0
000083-41-0,1,0,10,0.376,1.014,0,2.5,1.778,0,0,0,0,0,0
000121-87-9,2,1,12.5,0.162,0.531,0.028,3,1.778,0,0,0,0,0,0
000086-30-6,2,0,4,0.384,0.881,1.133,1.5,1.333,0,0,0,0,0,0
000098-95-3,1,0,14.3,0.391,0.842,0,1.5,0.889,0,0,0,0,0,0
025154-54-5,2,0,25,0.414,0.769,0,2.5,1.556,0,0,0,0,0,0
000100-14-1,1,1,11.8,0.304,0.726,1.007,2.5,1.333,0,0,0,0,0,0
000099-54-7,1,2,14.3,0.266,0.478,0,3,1.778,0,0,0,0,0,0
005329-12-4,2,3,0,-0.149,0.335,3.141,3,1.556,0,0,0,0,0,0
000088-26-6,0,0,4.9,-0.093,1.228,0.947,7,2.889,2,0,0,0,0,0
000700-13-0,0,0,8.7,-0.145,1.041,0,3,2.222,0,0,0,0,0,0
000120-71-8,1,0,4.8,0.283,1.148,0.403,2,0.889,0,0,0,0,0,1
000101-84-8,0,0,4.3,0.026,0.941,1.117,1.5,0.444,0,0,0,0,0,0
000062-44-2,1,0,7.7,-0.038,1.254,0.724,3,0.889,0,0,1,0,3,0
000555-03-3,1,0,16.7,0.23,1.11,0.021,2.5,1.111,0,0,0,0,0,0
000096-96-8,2,0,15,0.125,1.03,0.546,3,1.556,0,0,0,0,0,0
000088-89-1,3,0,36.8,0.247,0.647,0.04,4.5,2.444,0,0,0,0,0,0
000095-57-8,0,1,7.7,-0.142,0.633,0,1.5,1.111,0,0,0,0,0,0
029772-02-9,0,2,9.1,-0.046,0.559,0.644,2,0.889,0,0,0,2,0,1
000089-64-5,1,1,20,0.103,0.562,0,3,1.556,0,0,0,0,0,0
000615-58-7,0,2,7.7,-0.183,0.429,0,2.5,1.333,0,0,0,0,0,0
