CAS No.,nN,ATSC8v,SpMaxA_G/D,Mor16u,nROH,O-058,P-117,MLOGP2,Molecular Polarizability
001127-76-0,0.000 ,0.407 ,1.007 ,0.366 ,0.000 ,0.000 ,0.000 ,15.670 ,199.890 
001129-50-6,1.000 ,2.968 ,0.939 ,0.386 ,0.000 ,1.000 ,0.000 ,5.054 ,172.410 
001162-65-8,0.000 ,5.913 ,1.032 ,-0.493 ,0.000 ,2.000 ,0.000 ,3.524 ,316.570 
001165-39-5,0.000 ,5.952 ,1.022 ,-0.376 ,0.000 ,2.000 ,0.000 ,3.726 ,319.540 
001194-65-6,1.000 ,0.000 ,1.087 ,0.086 ,0.000 ,0.000 ,0.000 ,8.735 ,148.620 
001468-95-7,0.000 ,1.885 ,1.033 ,0.123 ,1.000 ,0.000 ,0.000 ,12.750 ,285.200 
001470-94-6,0.000 ,0.000 ,1.028 ,0.194 ,0.000 ,0.000 ,0.000 ,6.299 ,142.400 
001538-74-5,1.000 ,4.429 ,0.954 ,0.824 ,0.000 ,1.000 ,0.000 ,4.451 ,193.590 
001582-09-8,3.000 ,5.303 ,0.947 ,0.208 ,0.000 ,0.000 ,0.000 ,17.698 ,283.030 
001596-84-5,2.000 ,0.815 ,0.928 ,0.190 ,1.000 ,2.000 ,0.000 ,0.003 ,127.410 
001610-17-9,5.000 ,6.351 ,0.954 ,0.570 ,0.000 ,0.000 ,0.000 ,4.946 ,202.720 
001615-80-1,2.000 ,0.000 ,0.953 ,0.227 ,0.000 ,0.000 ,0.000 ,0.535 ,89.340 
001646-87-3,2.000 ,3.463 ,0.938 ,-0.036 ,0.000 ,1.000 ,0.000 ,0.000 ,181.700 
001646-88-4,2.000 ,3.580 ,0.975 ,0.025 ,0.000 ,3.000 ,0.000 ,0.003 ,180.510 
001698-60-8,3.000 ,1.856 ,1.024 ,0.257 ,0.000 ,1.000 ,0.000 ,3.809 ,217.210 
001702-17-6,1.000 ,0.000 ,1.065 ,0.218 ,1.000 ,1.000 ,0.000 ,1.800 ,145.760 
001754-58-1,2.000 ,2.647 ,0.988 ,0.542 ,0.000 ,1.000 ,1.000 ,4.056 ,177.190 
001763-23-1,0.000 ,0.721 ,1.042 ,0.478 ,1.000 ,2.000 ,0.000 ,15.048 ,171.920 
001836-75-5,1.000 ,2.048 ,1.009 ,0.086 ,0.000 ,0.000 ,0.000 ,16.321 ,263.360 
001861-32-1,0.000 ,0.735 ,1.049 ,-0.047 ,0.000 ,2.000 ,0.000 ,13.311 ,247.690 
001861-40-1,3.000 ,4.849 ,0.941 ,0.046 ,0.000 ,0.000 ,0.000 ,17.698 ,282.330 
001897-45-6,2.000 ,0.000 ,1.153 ,-0.096 ,0.000 ,0.000 ,0.000 ,9.814 ,218.190 
001912-25-0,5.000 ,5.414 ,0.949 ,0.744 ,0.000 ,0.000 ,0.000 ,10.142 ,233.520 
001912-26-1,5.000 ,4.450 ,0.957 ,0.554 ,0.000 ,0.000 ,0.000 ,8.371 ,215.930 
001918-00-9,0.000 ,0.000 ,1.010 ,0.003 ,1.000 ,1.000 ,0.000 ,6.877 ,173.010 
001918-13-4,1.000 ,0.000 ,1.055 ,0.207 ,0.000 ,0.000 ,0.000 ,8.735 ,190.340 
001918-16-7,1.000 ,1.163 ,0.961 ,0.200 ,0.000 ,1.000 ,0.000 ,7.956 ,199.710 
001918-18-9,1.000 ,1.609 ,1.008 ,0.185 ,0.000 ,1.000 ,0.000 ,5.543 ,183.790 
001929-82-4,1.000 ,0.000 ,1.101 ,0.381 ,0.000 ,0.000 ,0.000 ,7.232 ,169.820 
001967-16-4,1.000 ,3.923 ,0.995 ,0.178 ,0.000 ,1.000 ,0.000 ,6.620 ,206.100 
001967-25-5,2.000 ,0.510 ,1.006 ,0.203 ,0.000 ,1.000 ,0.000 ,2.645 ,170.860 
001982-47-4,2.000 ,5.333 ,0.975 ,0.051 ,0.000 ,1.000 ,0.000 ,10.110 ,290.480 
001982-49-6,2.000 ,7.390 ,0.970 ,0.615 ,0.000 ,1.000 ,0.000 ,6.422 ,245.350 
002008-41-5,1.000 ,7.816 ,0.924 ,0.588 ,0.000 ,1.000 ,0.000 ,6.585 ,219.340 
002032-65-7,1.000 ,3.680 ,0.948 ,0.057 ,0.000 ,1.000 ,0.000 ,5.654 ,221.430 
002051-60-7,0.000 ,1.033 ,1.033 ,0.531 ,0.000 ,0.000 ,0.000 ,19.499 ,208.790 
002051-61-8,0.000 ,1.011 ,1.034 ,0.298 ,0.000 ,0.000 ,0.000 ,19.499 ,213.400 
002077-99-8,3.000 ,2.030 ,0.986 ,0.291 ,0.000 ,0.000 ,0.000 ,11.583 ,240.220 
002104-64-5,1.000 ,8.849 ,0.998 ,0.387 ,0.000 ,0.000 ,0.000 ,11.494 ,325.020 
002122-70-5,0.000 ,4.275 ,0.991 ,0.388 ,0.000 ,1.000 ,0.000 ,11.059 ,236.470 
002150-88-1,1.000 ,1.545 ,0.992 ,0.354 ,0.000 ,1.000 ,0.000 ,3.179 ,165.260 
002150-93-8,1.000 ,0.510 ,1.010 ,0.032 ,0.000 ,1.000 ,0.000 ,7.751 ,181.890 
002164-08-1,2.000 ,6.074 ,0.999 ,0.331 ,0.000 ,2.000 ,0.000 ,4.960 ,223.430 
002212-67-1,1.000 ,3.018 ,0.951 ,0.180 ,0.000 ,1.000 ,0.000 ,2.494 ,181.320 
002227-17-0,0.000 ,0.000 ,1.179 ,-0.125 ,0.000 ,0.000 ,0.000 ,31.741 ,339.040 
002234-13-1,0.000 ,0.000 ,1.191 ,0.245 ,0.000 ,0.000 ,0.000 ,42.931 ,331.170 
002303-17-5,1.000 ,5.697 ,0.953 ,0.026 ,0.000 ,1.000 ,0.000 ,9.069 ,253.610 
002307-68-8,1.000 ,5.913 ,0.921 ,0.304 ,0.000 ,1.000 ,0.000 ,13.133 ,236.790 
002310-17-0,1.000 ,6.405 ,0.997 ,0.731 ,0.000 ,1.000 ,0.000 ,3.032 ,329.800 
002327-02-8,2.000 ,0.338 ,1.011 ,0.219 ,0.000 ,1.000 ,0.000 ,4.206 ,173.720 
002385-85-5,0.000 ,0.000 ,1.228 ,-0.925 ,0.000 ,0.000 ,0.000 ,42.449 ,350.500 
002425-06-1,1.000 ,3.771 ,1.073 ,0.005 ,0.000 ,2.000 ,0.000 ,5.553 ,264.560 
002439-01-2,2.000 ,1.024 ,1.095 ,0.505 ,0.000 ,1.000 ,0.000 ,0.199 ,267.410 
002497-06-5,0.000 ,6.505 ,1.049 ,0.479 ,0.000 ,2.000 ,0.000 ,0.511 ,263.890 
002539-17-5,0.000 ,0.000 ,1.064 ,-0.140 ,0.000 ,0.000 ,0.000 ,9.168 ,192.940 
002597-03-7,0.000 ,9.792 ,1.000 ,0.528 ,0.000 ,1.000 ,0.000 ,2.962 ,301.670 
002603-10-3,1.000 ,1.340 ,0.974 ,0.423 ,0.000 ,1.000 ,0.000 ,1.435 ,147.590 
002631-37-0,1.000 ,3.580 ,0.941 ,0.126 ,0.000 ,1.000 ,0.000 ,5.716 ,207.340 
002655-14-3,1.000 ,2.950 ,0.976 ,0.099 ,0.000 ,1.000 ,0.000 ,3.306 ,178.650 
002668-24-8,0.000 ,0.000 ,1.036 ,0.023 ,0.000 ,0.000 ,0.000 ,7.488 ,172.380 
002675-77-6,0.000 ,0.796 ,0.999 ,-0.057 ,0.000 ,0.000 ,0.000 ,7.488 ,172.260 
002921-88-2,1.000 ,7.214 ,0.972 ,0.351 ,0.000 ,0.000 ,0.000 ,10.912 ,279.400 
002989-98-2,2.000 ,0.359 ,1.007 ,0.261 ,0.000 ,1.000 ,0.000 ,2.645 ,169.800 
